ID,System,Setting,Bucket,Theme,Tweet,Anno1,Anno2,Anno3
1,Pacheco,Async,75-100,AdvocateForVaccine,"Covid, the vaccine, and these masks really dividing so many people…all this shit starting to drive me crazy and it’s weird because nobody knows what the fuck about to happen next..",0,0,
2,Pacheco,Async,75-100,AntiCovidVaccine,lip injections have a greater chance of hurting you than the Covid vaccine does 💀,0,0,
3,Pacheco,Async,75-100,AntiCovidVaccine,"y’all do know companies charge more on insurance premiums for people who smoke, just as if you don’t want a vaccine they can increase your premium. why should they pay 10s of thousands towards a covid hospital stay when you can get a vaccine for free ?",0,0,
4,Pacheco,Async,75-100,AntiDemocrat,"ESPN: Rick Dennison out as Minnesota Vikings assistant after refusing COVID-19 vaccine, sources say.
https://t.co/Qyew124cMw

via @GoogleNews",0,0,
5,Pacheco,Async,75-100,AntiRepublican,Misinformation PAYS: ‘Gateway Pundit’ earned $1.1 million in Google ad revenue from a mere 100 stories using vaccine and election misinformation. Dang! https://t.co/tCI0ZN8uWw by @abebrown716,0,0,
6,Pacheco,Async,75-100,BidenadministrationenforcingCOVIDvaccine,"Requiring it is “debatable”?!?! Eat shit, Faucci! https://t.co/9YPOwi8lgL",1,1,
7,Pacheco,Async,75-100,BlameFauci,"Now what?!
https://t.co/c3NYskJpxU",0,0,
8,Pacheco,Async,75-100,Covidvaccineaftereffects,"Ya know, most times you use a sick day, it’s kinda a last minute thing, and having a 2 part COVID vaccine is a unique situation where I’ve scheduled a sick day",1,1,
9,Pacheco,Async,75-100,COVIDvaccineonlyreducestheeffectsofCOVID,"@TotWonderland @W1ggersneed @thaliasmokey @AndrewPerrined @s4m31p4n Literally he’s just saying that the vaccine doesn’t stop you from getting COVID, which is true.",0,1,1
10,Pacheco,Async,75-100,Criticising_political_figures,"Someone help me make sense of this! Happening in THEE SAME STATE that is currently screaming “MY BODY, MY CHOICE” in regard to the covid vaccine but wants to take away the right for a women to say “MY BODY, MY CHOICE”! America is only land of the FREE for rich white men in power! https://t.co/yJ1pDfjgxB",1,0,0
11,Pacheco,Async,75-100,Criticising_The_President,"Shameless military junta has ordered covid vaccine Sinovac from China that costs over US $ 10 million,misappropriating the state-owned fund(over 1300 millions US $) donated by Public Government and Myanmar citizens.#WhatsHappeningInMyanmar #July18Coup https://t.co/51gyIyi8x5",0,0,
12,Pacheco,Async,75-100,Encouraging_getting_the_vaccine,I thought refusing to wear a mask this past year was awful but refusing to get a Covid-19 vaccine is a whole new level of ASSHOLE.,1,1,
13,Pacheco,Async,75-100,Encouraging_people_to_get_the_covid_vaccine,"You can dance like them too if you get your vaccine. #covid #vaccinatedatberger #getvaccinated #doyourpart @ 1555 Berger Dr, San Jose https://t.co/5kf14v9RJG",1,1,
14,Pacheco,Async,75-100,Encouraging_people_to_get_the_covid_vaccine,"S/o to the white lady who gave me her 20% coupon from getting her Covid vaccine so I can get some more money off my hair products. 

“Sweetie I know African American hair products are expensive, here take this.” https://t.co/zEEl63KMb6",0,1,0
15,Pacheco,Async,75-100,Experiences_of_vaccine_side_effects,@MGrimm6 @Scott50355687 @jsilk9 @chrisrock Not really a big difference. It's well documented that vaccine effectiveness (as well as antibodies derived from surviving COVID-19) reduce over time. That's why Jeff was a very smart man for getting the 3rd dose.,0,0,
16,Pacheco,Async,75-100,FDA_Approval_of_covid_vaccine,"AstraZeneca’s absurd and unprecedented dispute with regulators, explained https://t.co/3ho0scUanT via @voxdotcom",1,1,
17,Pacheco,Async,75-100,FDA_Approval_of_covid_vaccine,@kneedull It was contingent on clinical trial data according to this: https://t.co/JqgR8YtWhn,1,0,0
18,Pacheco,Async,75-100,FDAapprovesCOVIDvaccine,Statement of The International Society on Thrombosis and Haemostasis (ISTH) on the Astra Zeneca COVID-19 Vaccine and Thrombosis. 👇 https://t.co/duD6FrMnAp,0,0,
19,Pacheco,Async,75-100,GettingtheCOVIDvaccine,"This job might be a great fit for you: COVID 19 Vaccine Support - Pharmacy Technician - https://t.co/WmVMQ4cfCX #Folsom, CA #CVSJob",0,0,
20,Pacheco,Async,75-100,GetyourCOVIDvaccine,let’s give cody and noel the covid vaccine right now. i’m in need of a thats cringe,1,1,
21,Pacheco,Async,75-100,GetyourCOVIDvaccine,Eve of vaccinations incentives lottery drawings. https://t.co/qEhaRLQPKM,1,1,
22,Pacheco,Async,75-100,Information_about_covid_vaccine_availability_and_appointments,"The WHO has promised to provide Syria with the vaccine in the first quarter of 2021, but the organization has not yet confirmed the exact date of delivery further information on the type of the vaccine, or its price, remain unavailable.
https://t.co/TYvujSCaNe via @enabbaladi",1,0,0
23,Pacheco,Async,75-100,Information_about_covid_vaccine_availability_and_appointments,"The doctor was Jonas Saulk. This is him giving the vaccine he invented to kids, including my dad (not pictured),
at Colfax Elementary/Wightman School that day in 1954. My dad is 75 now. He was first in line for the COVID vaccine too. (4/4)",0,1,0
