theme	tweets
AntiGunBan	"Simon's Gun Ban Shot Down!

Here is a video on what happened and it is vital that defenders of the 2nd Amendment watch it.

Then join us at www.restorevirginianow.com and rip the Richmond Radicals from power."
AntiGunBan	"Join the Front Line of Freedom in Virginia!

In 1775, the Minutemen were an organized force of Patriots which, at a moment’s notice, would mobilize to defend their communities and liberty.Today, Virginia is engaged in a political war to defend that same liberty and needs every single patriotic man and woman to join the Virginia Minutemen .

Will you answer the call to carry on this great tradition of ordinary citizens, in the midst of a great crisis, standing up to fight?

 I am going to speak frankly; this will not be an easy fight.  But it wasn’t in 1775 either.  As the new wave of radical anti-gun politicians take up the power of government, they do so with a vengeance. And, unless you act, they will destroy the Constitution, your right to keep and bear arms, and usher in a wave of totalitarian legislation that will be very hard to repeal.

 This is why it is vitally important that you sign up to join the Virginia Minutemen program today.

https://virginiaconservatives.net/virginia-minutemen-signup

 Being a Minuteman is not for everyone.  Some are not as dedicated to defending our great Virginian tradition of liberty and are not ready to commit to doing the work necessary.

I must tell you, it will be hard work.

Here at the Virginia Constitutional Conservatives, we are asking for volunteers to, in a moment’s notice, swing into action to defend their liberty, and the liberty of generations to come. In over a decade of grassroots political action, there are proven tactics and actions that will lead to victory; if you can mobilize enough patriots to act.

So that is what I am asking of you today.

Will you pledge to join the Virginia Minutemen?"
EnvironmentalConservation	"The climate crisis demands big, bold solutions. That’s why we’ve set a goal of activating 4,000 EDF members by Oct 22nd.

New donors: Donate $35 or more and the Robert W. Wilson Charitable Trust will match your donation $1-for-$1, doubling your impact."
EnvironmentalConservation	"⚠️GIFT MATCH ALERT⚠️

Save Bees and Our Food Supply! 🐝🍎

1 in every 3 bites of food we eat depends on bees and other pollinators!
But rampant toxic pesticide use, climate change, and habitat loss are killing bees, which could lead to food scarcity that would hit low-income communities and communities of color especially hard. NRDC is fighting to protect bee populations and secure the future of our food supply. We need your help before the year ends.

Make your tax-deductible gift before 12/31 and help save pollinators."
SchoolBoardFinances/GasInfrastructure	Prices at the pump continue to rise. Urge your lawmakers to oppose  the fuel mandate that would raise gas prices even higher.
SchoolBoardFinances/GasInfrastructure	We’re looking toward the future and Colorado’s future begins in its public schools. In the last decade and a half, Colorado’s oil and natural gas industry generated over $1.2 billion to support millions of our public school students. Learn more: https://cred.org/tomorrow. 
AntiGridDeregulation/PoliticalActionAds	"We need all Patriots to help us Restore Virginia.  

Unless you are politically feared, you will not be politically respected.

Learn WHY this works…. Learn HOW YOU can be feared AND respected by politicians in the fight for liberty.

This is practical, no-nonsense training built around cutting-edge political strategies and tactics.

If you are tired of crony-capitalism, corporate handouts and politicians only looking out for their next re-election, this class might be for you.

If you are ready to DO something to take back power from the politicians and elites for “We The People,” you NEED to attend this class on Saturday, August 14, 2021 in Norfolk , VA.

This intense one-day training covers:

The Real Nature of Politics - why just ""educating"" people alone won't result in change;

The Biggest Lie in Politics - and how the political class uses your convictions against you;

How to work effectively at the Capitol - getting a bill sponsor and a roll call vote despite the leadership; and

How to put pressure on legislators.

All of our instructors have years of experience putting these principles to work in multiple states.

Many have worked on federal, state and local campaigns, including major presidential campaigns, and successful campaigns for U.S. Senate and Congress. They know what works, and also what has been proven not to work in getting politicians to vote right.

This class will teach you how to turn your passion into effective action to advance liberty.
If you’re ready to learn how to be effective AND feared by politicians, click here to register for this class on Saturday, August 14, 2021 in Norfolk , VA. We’ll even throw in lunch."
AntiGridDeregulation/PoliticalActionAds	"We need all Patriots to help us Restore Virginia.

Unless you are politically feared, you will not be politically respected.

Learn WHY this works…. Learn HOW YOU can be feared AND respected by politicians in the fight for liberty.

This is practical, no-nonsense training built around cutting-edge political strategies and tactics.

If you are tired of crony-capitalism, corporate handouts and politicians only looking out for their next re-election, this class might be for you.

If you are ready to DO something to take back power from the politicians and elites for “We The People,” you NEED to attend this class on Saturday, July 17th, 2021 in Lexington , VA.

This intense one-day training covers:

The Real Nature of Politics - why just ""educating"" people alone won't result in change;
The Biggest Lie in Politics - and how the political class uses your convictions against you;
How to work effectively at the Capitol - getting a bill sponsor and a roll call vote despite the leadership; and
How to put pressure on legislators.
All of our instructors have years of experience putting these principles to work in multiple states.

Many have worked on federal, state and local campaigns, including major presidential campaigns, and successful campaigns for U.S. Senate and Congress. They know what works, and also what has been proven not to work in getting politicians to vote right.

This class will teach you how to turn your passion into effective action to advance liberty.

If you’re ready to learn how to be effective AND feared by politicians, click here to register for this class on Saturday, July 17th, 2021 in Lexington , VA. We’ll even throw in lunch."
CleanEnergyGoals	How many ways that Maine benefits from the Clean Energy Corridor can we cover in 60 seconds? Not all of them, but let's give it a shot anyway.
CleanEnergyGoals	North Carolinians deserve climate action to prevent further harm from the worsening climate crisis. Participation in a regional program to cut carbon pollution is North Carolina’s chance to lead in the nation.
