theme,tweets
DonationMatchingForClimate,It's actually pretty simple: climate change = more extreme weather. Find out why 99% of climate scientists agree.
DonationMatchingForClimate,"𝐓𝐚𝐜𝐤𝐥𝐢𝐧𝐠 𝐜𝐥𝐢𝐦𝐚𝐭𝐞 𝐜𝐡𝐚𝐧𝐠𝐞 𝐬𝐡𝐨𝐮𝐥𝐝 𝐛𝐞 𝐚 𝐭𝐨𝐩 𝐩𝐫𝐢𝐨𝐫𝐢𝐭𝐲.

It’s critical that Governor Polis continues to lead Colorado forward and act on climate if we are going to meet the scale of the crisis we face.

🚨Sign your name ASAP to urge him to speak up in support of climate action >>. "
AbandonedWells,The Iowa public school system has MANDATED Critical Race Theory and Dennis reviews a shocking document that the state’s teachers are forced to use.
AbandonedWells,Final Day - March 17 - Learn about Zion's latest Unit Program (Stock + Warrants) to invest toward Israel's Energy Independence - https://www.zionoil.com/dspp/unit-program. 
GreenEnergyIsCostEffective,Prices at the pump aren’t as straightforward as they often seem. The biggest determining factor of gas prices is the price of crude oil – which isn’t set by American refiners. Learn more about how gas price is determined:. 
GreenEnergyIsCostEffective,Major Flex. #BigGovSucks #SocialismSucks #Gas #Luxury #USA #Conservative #TPUSA. 
ClimateEmergency,Gas just isn’t what we thought it was. Wind can bring the energy that we’ve been looking for.
ClimateEmergency,"To help fight climate change, we’ll need every tool in the toolkit and the sooner we start, the better. Learn more how net-negative oil can help clear the air on the ground and in the sky!"
NuclearRevenueSupportsJobs,"The term “natural infrastructure” refers to naturally occurring landscape features and/or nature-based solutions that promote, use, restore or emulate natural ecological processes."
NuclearRevenueSupportsJobs,"AXPC supports innovative, collaborative solutions that lower greenhouse gas (GHG) emissions while meeting the world’s growing need for abundant, low cost, reliable energy. Like our page to learn more about our solutions ⬇️. "
HazardsOfWells,"CALL Abigail Spangerger: 540-321-6130 and tell them to oppose Pelosi’s socialist spending spree.

❌ Largest tax increase in more than 50 years

❌ Higher taxes on millions of small businesses

❌ Decreased wages and household income

❌ Rising costs for household goods like gas & groceries. "
HazardsOfWells,Question 1 gives politicians power to impose laws and restrictions retroactively — making it harder to create jobs and bring investments to Maine.
VirginiaConservatives,"Part 3️⃣ of our endangered species series with @vientoxsol and @wiisaakodewinini celebrates grizzly bears! 🐻 Learn more about these important animals and how they fit into the complex web of cultural and natural biodiversity. 

Although considered sacred by many tribes, Grizzly Bears continue to face threats from humans and climate change. ⤵️

“Within this struggle to protect the grizzly, and thus the land the grizzly, in turn, protects with the water, we find many of our struggles: the struggle to defend our sovereignty; the struggle to defend our treaty rights; the struggle to preserve and enforce consultation mandates; the struggle to defend and strengthen our spiritual and religious freedoms.” — Chief Stanley Grier, Chief at Piikani Nation, Brocket, Alberta, Canada 

Read more and take action now through the 🔗 in our bio. 

[Image description: This image is a photo collage. In the center of the image, a grizzly bear rests with paws perched on mountains in the foreground sprinkled with colorful followers in red, orange and white. A yellow circle enshrines the head of the bear. Behind, the sky is dark blue and speckled with wispy white clouds. Seven monarch butterflies also populate the frame.] 

#ESA #BiodiversityCrisis #Nature #Wildlife #ClimateChange #PeopleOverProfit #ActOnClimate #ClimateAction #EndangeredSpeciesAct #GrizzlyBear. "
VirginiaConservatives,"Clean Wisconsin is giving away some special swag this Giving Tuesday! Donate just $5 or more before midnight on Giving Tuesday, and you will receive a special Wisconsin landmarks Clean Wisconsin sticker - designed just for us by artist Katie Cooney. Donate $35 or more and receive a celebratory 50th anniversary Clean Wisconsin tote bag and the Wisconsin landmarks sticker!

DONATE HERE: https://donatenow.networkforgood.org/cleanwisconsin?code=website

Your gift will help us do the important work of protecting our water, tackling climate change, and advocating for a clean, healthy, and safe environment for everyone in Wisconsin."
DemandClimateActionFromLeaders,"We appreciate Senate President Leroy Garcia's leadership for Pueblo consumers and hope he supports continued efforts to combat climate change.

Pueblo needs to seize these coming opportunities. Our community will be stronger for it."
DemandClimateActionFromLeaders,"🔧 Replace old pipes? He can do that. 
🚘 Build an electric car? She can do that. 
🇺🇸 Rebuild the country and protect America against climate change? 

WE can do that."
PublicLandExploitation,"The Orange County oil spill has already threatened:
🐦 Birds
🐟 Fish
🌴 Ecosystems
😟 Communities
💵 Businesses

Every day, our coastal communities and natural world are threatened by Big Oil. Donate to sustain our fight for a 100% clean energy economy, and help prevent future fossil fuel disasters."
PublicLandExploitation,"Ordinance No. 5782 doesn’t just target pipelines. Because of the way it’s written, the ordinance could hurt everything from neighborhood gas stations to local businesses to the airport.

Tell city council to vote NO on Ordinance 5782: https://bit.ly/2QL5gfc. "
GreenEnergyCreatesJobs,Georgia among fastest-growing states for solar energy jobs. 
OilAndGasSupportJobs,"The recent suspension of oil and gas leases for the Arctic National Wildlife Refuge is a step in the right direction, but only a temporary solution. Together, we will fight to secure permanent protection for important bird habitats. Help give birds a brighter future by starting your monthly donation today."
AntiFossilFuelInfrastructure,"It's the problem that won't go away. Over the last 10 years, the lesser prairie chicken has been the subject of controversy and litigation. The oil and natural gas industry has willingly enrolled in conservation measures to minimize the impact of exploration and development on the land lesser prairie chickens call home. $60 million later... those efforts STILL aren't good enough for far-left environmental activists who are actively trying to stop production of oil and gas. We remain willing to work with the U.S. Fish and Wildlife Service to minimize negative impacts on oil and natural gas developments while still protecting the efforts to increase prairie chicken populations."
CleanOilAndGas,Removing fossil fuels from our energy portfolio could result in increased energy costs of $2000 for a family of four.
GreenEnergyCapacity,"Go solar for no money down, and interest rates as low as 0.99%. ☀️ #GoSolar. "
CutMethane,"Sometimes you don't want to be #1. For three consecutive months, California has had the highest-priced gasoline in the U.S. https://bit.ly/3ozmyZc. "
CommerceCityDemocrats,"For 15 years, the 100 Women Strong giving circle has funded initiatives that empower  women and children across Central Florida. We give with our hearts and our heads, making strategic investments to tackle the biggest challenges that affect women and children. Our efforts address the root cause of these challenges. That’s how change really happens. We’re looking for a few more great women to join us in making a difference."
RestoreVirginia,"What is the #BidenChallenge? Well, it’s based on Joe Biden not being able to successfully walk up THREE steps onto Air Force One.

Today, Benny Johnson took to the stairs to see if average Americans were brave and strong enough to complete this INCREDIBLY DIFFICULT #BidenChallenge...walking up three steps.

This episode is 🤣🤣🤣. "
