theme,tweets
DonationMatchingForClimate,"The changes to our planet due to climate change are accelerating, unprecedented, and irreversible, according to a bombshell report issued by the UN's Intergovernmental Panel on Climate Change (IPCC). Scientists warn that the planet is warming even faster than previously thought. That means we are even closer to devastating impacts of extreme weather, including heatwaves, wildfires, and hurricanes."
DonationMatchingForClimate,"#StopLine3 Big banks have promised to act on climate -- yet they continue to finance some of the worst fossil fuel projects. Line 3, the massive tar sands pipeline, will contribute as much pollution as 50 coal-fired power plants. This corporate greenwashing is unacceptable. Tell Wall Street to stop funding the climate crisis and walk away from Line 3!

📷: CC2.0/Fibonacci Blue."
AbandonedWells,Responsible mining is critical to our low-carbon future and fighting the climate crisis. We can safely mine in Minnesota.
AbandonedWells,A new kind of natural gas power plant is beginning to catch on across the globe — one that makes it possible to generate electricity from fossil fuels while capturing the CO2 produced during the process.
GreenEnergyIsCostEffective,"Homeowners need a reliable #energy source 24/7, 365 days a year. Learn more about why #natgas is the most reliable energy option on the market. #NationalHomeownershipMonth. "
GreenEnergyIsCostEffective,"The Midwest’s solar industry is growing even brighter: Midwest utilities are embracing solar power, over 50 GW of solar capacity are in the MISO pipeline, tens of thousands of Midwesterners work in the solar industry."
ClimateEmergency,This FREE virtual climate change debate is YP's biggest event of the spring!
ClimateEmergency,Walmart needs to stand for climate legislation. Tell Walmart their customers want them to publicly support climate legislation and lobby for climate!
NuclearRevenueSupportsJobs,"The @internationalenergyagency believes we can hit net-zero emissions by 2050 — simply put, their 222-page report is absurd. By stopping oil and natural gas exploration and more than doubling investments for alternative (see: unreliable) energy development, average Americans and our nation's economy will be met with economic ruin."
NuclearRevenueSupportsJobs,"The future of technology and innovation starts in Colorado’s classrooms. Over the last 15 years, our state’s oil and natural gas industry has generated more than $1.2 billion to support the education of future engineers, scientists, and millions of Colorado public school students. Learn more: https://cred.org/tomorrow. "
HazardsOfWells,"This effort is especially important because children riding school buses can be exposed to levels of diesel pollution inside the bus cabin several times higher than levels outside the bus.

Please tell your Member of Congress to support the Clean School Bus Act."
HazardsOfWells,"Big Oil has known since the 1960s that burning fossil fuels damages our environment. But they've lied and ducked responsibility. So when the bill for the climate crisis comes due, who should pay?"
VirginiaConservatives,"Zero Emissions. Zero Compromise. That’s what our latest partnership with Hyzon Motors is all about.

This partnership represents an additional potential solution to help us accelerate our transition to a zero emissions fleet by 2035.

“By partnering with Hyzon Motors on this initial hydrogen-powered fuel cell electric utility truck, SoCalGas is showing their commitment to decarbonize their over-the-road fleet. These efforts will go a long way in helping California meet its climate goals.” - Senator Bob Archuleta.

Read more about this exciting partnership: newsroom.socalgas.com/press-release/socalgas-takes-step-to-decarbonize-fleet-through-partnership-with-hyzon-motors. "
VirginiaConservatives,"We are beyond proud to share that Floris White Bull will be joining us as a SAGE environmental scientist. She will be participating in an internship study of avian species for our clean energy program. Floris is not only an environmental scientist, but she is a graduate student, a screenwriter (Awake, 2017) and instrumental in the 2016 Standing Rock protests against the Dakota Access Pipeline. We can't wait to share her findings and are delighted in this partnership. Welcome Floris!

#StandingRock #RenewableEnergy #WindPower. "
DemandClimateActionFromLeaders,Let President Biden know that New Hampshire supports his vision to fight climate change and invest in clean energy with the Build Back Better Act!
DemandClimateActionFromLeaders,"Siya Goel, a West Lafayette student, knows young people deserve a liveable climate future. As a leader of Confront the Climate Crisis and partner with the Sierra Club, Siya is fighting for that future. 

There’s room for everyone to join the fight and no time to waste! The fastest way to lower carbon emissions is to stop utilities from burning coal for electricity, so we need your help to move Duke Energy Indiana beyond coal. Are you ready to use your unique skills to change the game?"
PublicLandExploitation,"Powerful fossil fuel interests are lobbying aggressively and spending heavily to deny science and put profit ahead of our planet and people. 

But we have so much momentum and opportunity for bold climate action, and we're not going to waste it. This Earth Day, we are rallying millions of supporters around the country to fight for a livable planet for all -- and we're kicking things off with our FREE stickers. Get yours today: http://sc.org/3rNrwll. "
PublicLandExploitation,Protecting public lands is a critical part of the fight against climate change. Sign our petition asking Arizona Senators Kelly and Sinema to keep up the fight to protect the Grand Canyon.
GreenEnergyCreatesJobs,"Fact check: Mainers WILL receive clean electricity from the Clean Energy Corridor, and at a discounted rate."
OilAndGasSupportJobs,"Thanks to a generous family foundation, all donations will be matched and will support the efforts of EDF. With your help, we can work to create a healthier, more sustainable future. Donate now to join us and be part of a movement for transformational change."
AntiFossilFuelInfrastructure,Big oil and gas companies are forcing American families to choose between groceries or their energy bill this winter while they line their pockets.
CleanOilAndGas,"CA already imports 70% of the oil & gas we use, and now some Sacramento politicians want to get rid of local production entirely— that means even more foreign oil imports and higher gas prices for all Californians. SB-467 is a costly bill that would kill thousands of local blue-collar jobs."
GreenEnergyCapacity,"""Racial justice is Climate justice. Environmental justice. Economic justice. These are all elements of the same thing – a healthy, hospitable, and sustainable future that includes us all. While we work for justice in the courts, our community is taking action toward a renewable energy future for Standing Rock. That future begins with SAGE Development Authority and its inaugural project: a 235MW wind farm named Anpetu Wi."" - Joseph McNeil, Jr

Read Joe's recent guest blog post on Renewable Energy Buyers Alliance's website: 

#renewableenergy #renewable #greenenergy #environmentaljustice

https://rebuyers.org/blog/reba-member-highlight-standing-rock-sioux-tribe/. "
CutMethane,"Data from the latest Oklahoma Energy Index proves our industry is officially in recovery mode! As oil and natural gas prices improve, rig count is on the rise and industry employment is holding steady. 

Learn more insights 👉 https://bit.ly/2Uen7MV. "
CommerceCityDemocrats,"""Political persecution: In political conflict, this strongly increases the likelihood of state repression. 

States so often engage in repressive behaviors in times of civil conflict that the relationship between these two phenomena has been termed the ""Law of Coercive Responsiveness"". 

When their authority or legitimacy is threatened, regimes respond by overtly or covertly suppressing dissidents to eliminate the behavioral threat. State repression subsequently affects dissident mobilization, though the direction of this effect is still an open question. 

Replace ""States"" with ""School Boards"" and you will understand how a biased Police Chief ginned up charges, for political purposes, in order to arrest the school district's most vocal and successful opposition leader. 

Click on this link: Https://Stafford.ohiostandyourground.com

Watch the videos and listen to the truth, in their own words of how this ""conspiracy to arrest"" was manufactured by the Police officers and Detective involved, including the Police Chief.

It is the opinion of some, that this ""political prosecution,"" coming from this Police Chief, is all about keeping me from running for school board in November. There is talk he is doing the dirty work of those within the power structure of our school district.

The BIG question: Is this the ""FOP member"" the School Board Attorney, Tabitha Justice, threatened to use in her letter to me? 

Does this explain why the Sugarcreek Police Department and the Greene County Prosecutors have refused to do anything about the actual assault, attempted assaults, threats of violence, harassment, and targeted cyberattacks against me, my family, and my business by the Vote yes Pac members?"
RestoreVirginia,"Some PA state lawmakers are forcing an old debate that would keep the Keystone State stuck in the polluting past — not doing its part to protect its own residents, nor its fair share for the rest of the world. PA should join #RGGI and #ActOnClimate. Read more from Philadelphia Inquirer:. "
ThankRepForBuildBackBetter,"Rep. McBath, thanks for fighting for clean energy that can power our economy, create good-paying jobs, and tackle the climate crisis. Now is our time to get it done."
