theme,tweets
AdvocateForGreenEnergy,We must rapidly end fossil fuel development on public lands while transitioning our communities to a more just and equitable economy. Tell Senators Heinrich and Luján to support reforms of the nation’s federal oil and gas leasing system.
AdvocateForGreenEnergy,"Extreme weather has thrown America into a constant state of emergency.

We need to act now to fight climate change. Later will be too late."
GreenPowerExpensive,A ban on natural gas could limit consumer choice and potentially increase energy costs across the state.
GreenPowerExpensive,"CA politicians are putting already struggling families at risk by threatening their jobs and livelihoods with a statewide energy shutdown. This would further increase the price of gas and household utility costs for California families, and put our local economy at risk."
ClimateActionDonation,"At Earthjustice, we’re using the power of the law to protect the people and places we all love. Will you join us? 

The future of our planet is at risk. Climate change, an irreversible loss of biodiversity, a system that puts profits over people — these are all threats here and now. Answer the call and help us defend the Earth, before it’s too late."
ClimateActionDonation,"Climate change is happening, and the best form of action is to talk about it. If every parent made this pledge 👇, we could help protect your kids' future."
GreenEnergyWorks,"The American clean power industry’s added capacity from April to June of this year was up 13 percent from the same period last year, and Michigan was one of the leading states in terms of installations, adding 424 MW of renewable energy capacity, ranking behind just Texas and California."
GreenEnergyWorks,"With an innovative combination of #natgas and renewable energy, a Colorado Habitat for Humanity team is working to build its first zero-net energy demonstration home. This “all-of-the-above energy strategy” will help lower emissions and utility bills for low-income families. Learn more: https://bit.ly/3rkDt1x. "
AdvocateForGreenEnergyPoliticalAction,"Climate change has reached a crisis point, and Congressman Case has a chance right now to pass a plan that takes it on. This is our moment.

Text HISTORY to 434-266-8464 and ask they pass the Build Back Better Act."
AdvocateForGreenEnergyPoliticalAction,It’s a critical week for the fight against climate change as executive decision makers and government representatives join forces to discuss how we continue to take action. We’re even more thrilled to see some of our own signatories participating in these important conversations @pepsico @siemens @unilever 👏 #ClimateWeekNYC. 
AntiTax,"The Citizens United decision allowed massive political spending by fossil fuel companies. In fact they've outspent environmental activists 10 to 1 in stopping climate change action. The For the People Act will stop this corruption. 

Without action, our democracy and our access to it is in serious jeopardy, which is why the Senate must ensure fair elections, protect the freedom to vote and pass the For the People Act! To take action, visit sc.org/4thepeople or text ""FTP"" to 69866 to call your Senators now."
AntiTax,"""The Sky is falling! Mayday...Mayday is FAKE!""
🛑 With many staff being paid $80,000.00, to almost $100,000.00 dollars, plus extravagant benefits that are no longer in the private sector, it has created a budget crisis. The crisis is brought about by the school administration that refuses to live within the budget given to them by the taxpayers. 

🛑 They only want more, more, more, having become entitled. Ohio property owners are overtaxed. Sugarcreek and Bellbrook property owners are feeling the squeeze.

🛑 To restore financial responsibility to schools VOTE NO. They are already saying once this tax is passed they will want more increases every few years, as soon as 2024!
 
It is an abuse of power and it needs to be stopped.  ⛔ 

S.O.S.....Save our Seniors....VOTE NO on May 4th!"
GreenEnergySavesMoney,"Did you know that regionalizing Arizona's energy grid is the CLEANEST, FASTEST, AND CHEAPEST way to decarbonize? Climate change is a reality - it's time to act quickly. Act Now! 
>>Link in bio<<. "
