theme,tweets
AdvocateForGreenEnergy,AMP believes we can work together to reduce emissions and protect our natural resources!
AdvocateForGreenEnergy,Stand up with frontline communities impacted by the climate crisis. Sign up for our training to make real change.
ClimateActionDonation,"Big Polluters are spending millions to weaken clean energy investments in the Build Back Better Act. If they succeed, it will be devastating for our planet and communities. So Congress needs to hear from us: take action and send a message to Congress now!"
ClimateActionDonation,"""It’s important to lay the blame for climate change where it belongs...The industry knows that; it’s why they’ve been pointing the finger at us for decades.""

It's time to take climate change seriously and act by creating millions of good-paying, union, clean energy jobs."
AntiWoke,"Pennsylvania state lawmakers have been putting money and power into the hands of the fossil fuel industry for years. Now they’re pushing a bill to block the state from taking #ClimateAction and investing in clean energy.   

Tell your state senator to vote NO on #SB119."
AntiWoke,"Duke Energy isn’t switching from dirty fossil fuels​ to clean energy fast enough. It’s worsening the climate crisis, and costing us our planet. 

Expose the cost of its dirty power at https://sc.org/dirty-truth. "
DemocratOutreach,"Huge news: The House just voted to pass the Build Back Better Act!

Thank you, Rep. Kildee, for putting Michigan's working families first by voting to create clean energy jobs right here and take on climate change right now."
DemocratOutreach,"Huge news: The House just voted to pass the Build Back Better Act!

Thank you, Rep. Case, for putting Hawaii's working families first by voting to create clean energy jobs right here and take on climate change right now."
StopOilPollution,Fossil fuel companies and their allies are trying to keep the worst polluting coal plants in Illinois open indefinitely. Ask Sen. Gillespie to pass a Climate and Equitable Jobs Bill!
GreenEnergySavesMoney,"Rep. Davids, thanks for fighting for clean energy that can power our economy and create good jobs, right here. Now is our time to get it done."
AdvocateForGreenEnergyPoliticalAction,"While the bipartisan infrastructure plan includes important broadband, energy and infrastructure improvements, it doesn’t go nearly far enough to protect us. Tribal treaty obligations insist that Congress must consider climate change impacts on tribal communities. 

It's time to #BuildBackBetter NOW. https://bit.ly/3Fjcyvj. "
OilCreatesJobs,"Since 2015, the Colorado oil and natural gas industry has supported over 200,000 jobs. Tomorrow, the jobs we create will help grow communities. In fact, everything the oil and natural gas industry is doing today is about Colorado’s tomorrow."
GreenEnergyWorks,Nuclear plants in Alaska would provide reliable power and thousands of clean energy jobs. Show your support by liking our page today.
GreenPowerExpensive,"Are wind, solar, and batteries the magical solutions to all our energy needs? Or do they come with too high a price? Mark Mills, Senior Fellow at the Manhattan Institute, analyzes the true cost — both economic and environmental — of so-called green energy."
NuclearAdvocacy,"The future of our air, our public health and our state depends on nuclear energy. Like our page to support Maryland's largest source of carbon-free energy."
AntiTax,"At a difficult time for lowa, lawmakers are considering a fuel mandate that would raise gas taxes. Sign the letter to say NO!"
TackleClimateChange,Greedy fossil fuel corporations are stealing our future and wrecking our state. Ready to help fight back?
LegislatorsMustActAgainstClimateChange,Did you know Illinois is home to one of the worst polluters in the country? A new bill would require coal plants to cut their emissions or close. Tell your legislators to support the Climate and Equitable Jobs Bill!
AntiDemocraticCandidates,"TennCon BIG 7️⃣ Fleischmann & Kustoff Vote Yes For $400M Federal V@X Database
📖Confederate Memorabilia In Jury Room Leads To New Trial For Tennessee Man 
❗Support Our Year-End Campaign! https://bit.ly/3llanig 
😬Bradley County Parents Notified Of Statewide Mask Mandates For Tennessee Head Starts
💵Lawmakers Approve $8M More For Education Contract Amid Commissioner’s Potential Conflict
📖Tennessee Business Roundtable Opposes Comptroller’s Decision To Suspend C0VID Exemptions
📬 FREE Daily E-Newsletter https://bit.ly/3o9lwom 
- U.S. Senate Rejects Biden's Mandate For Private Sector
- Biden Banking Nominee Withdraws After Bipartisan Criticism Over Her Ties To Marxism, Socialist Policies
- Senator Gardenhire Pushes For Higher Salaries For School Board Members

Tired of local, liberal main-stream media? Then stop consuming it and come to the Tennessee Conservative! If you like what we do, please go to https://bit.ly/3o9lwom and subscribe for our email and occasional text updates.

Also, if you firmly believe TN needs a true conservative news alternative, help us reach other conservatives just like you by supporting our publication. Simply go to https://bit.ly/3pi2StL  or navigate to the home page and click the red support button at the top.

For every dollar you give, we can reach one more conservative Tennessean like you – and when you give any amount you’ll get two “Proud Tennessee Conservative” bumper stickers and a directory of state officials so you can voice your support of conservative policies in Tennessee."
RenewableEnergyGrowth,The Build Back Better Plan has the opportunity to supercharge renewable energy. Send a letter to Congress today!
OilAndGasExtractionRisks,California is phasing out fossil fuels—but the oil industry is leaving behind a huge mess that poses harm to people and our environment.
ReduceEmissions,Natural gas and oil companies are dedicated to cutting greenhouse gases. Meet Chevron’s manager of emissions reduction and learn how we can do more together.
BuildBetterAct,"Huge news: The House just voted to pass the Build Back Better Act!

Thank you, Rep. Sherrill, for putting New Jersey's working families first by voting to create clean energy jobs right here and take on climate change right now."
NuclearEnergyBenefits,"Phoenix Residents: Arizona Public Service isn’t switching from dirty fossil fuels​ to clean energy fast enough. It’s worsening the climate crisis, and costing us our planet. 

Expose the cost of its dirty power at https://sc.org/dirty-truth. "
ClimateChangeDonations,"Instantly double your impact to protect our planet. Thanks to the Wilson Charitable Trust, all first time donors who give $35 or more will be matched $1-for$1. Please give today."
RenewableEnergyInfrastructureGrowth,"Innovation fuels responsible energy development to protect Colorado’s natural beauty. Critical funding from tax revenue supports science and engineering innovations to ensure the air, land, and water are safe for future generations."
OilAndGasJobs,Did you know oil and natural gas jobs provided more than $251.1 billion in wages across Texas in 2019? Learn how energy can help accelerate economic recovery.
NuclearEnergyEducation,"We are so excited to have our own General Manager Joseph McNeil, Jr. participate in Jane Fonda's Fire Drill Fridays next Friday, May 21st! RSVP to this live-streamed event with Tim Donaghy of Greenpeace USA and Colette Pichon Battle, Esq of Gulf Coast Center for Law & Policy - GCCLP where they will discuss the ways in which fossil fuel companies harm BIPOC communities, and how Biden and Congress can take historic action to end fossil fuel racism."
RestoreVirginia,"We need all Patriots to help us Restore Virginia.  

Unless you are politically feared, you will not be politically respected.

Learn WHY this works…. Learn HOW YOU can be feared AND respected by politicians in the fight for liberty.

This is practical, no-nonsense training built around cutting-edge political strategies and tactics.

If you are tired of crony-capitalism, corporate handouts and politicians only looking out for their next re-election, this class might be for you.

If you are ready to DO something to take back power from the politicians and elites for “We The People,” you NEED to attend this class on Saturday, August 14, 2021 in Norfolk , VA.

This intense one-day training covers:

The Real Nature of Politics - why just ""educating"" people alone won't result in change;

The Biggest Lie in Politics - and how the political class uses your convictions against you;

How to work effectively at the Capitol - getting a bill sponsor and a roll call vote despite the leadership; and

How to put pressure on legislators.

All of our instructors have years of experience putting these principles to work in multiple states.

Many have worked on federal, state and local campaigns, including major presidential campaigns, and successful campaigns for U.S. Senate and Congress. They know what works, and also what has been proven not to work in getting politicians to vote right.

This class will teach you how to turn your passion into effective action to advance liberty.
If you’re ready to learn how to be effective AND feared by politicians, click here to register for this class on Saturday, August 14, 2021 in Norfolk , VA. We’ll even throw in lunch."
VirginiaConservativeCampaign,"TPUSA LIVE is the unfiltered, grassroots alternative to mainstream media. Watch daily shows, live in-studio content from TPUSA HQ and weekly shows covering politics, pop-culture, sports and everything in-between. Tune in every weekday starting at 5 PM ET / 2 PM PT.

Check out today’s show! 

Human Events Daily host Jack Posobiec discusses the Seattle Fire and Police discharged for not complying with vaccine mandates, a new ""HOLD THE LINE"" campaign, and more!

The TPUSA LIVE team is joined by host, Jon Root, and special guests Beth Walker, Morgan Zegers, and Daniel Idfresne who will talk about TPUSA's Professor Watchlist, increased COVID mandates, and play What In The World Wednesday!

On The Frontlines host Isabel Brown sits down with former UNLV Chapter President, (now TPUSA employee) Valentina Mentchoukov, watch SMASH with MAGA Hulk, Stephen Davis as he TEARS DOWN Critical Race Theory and then watch Freedom Papers with Morgan Zegers as she goes over Essay 69 with guest John Yoo. 

We will wrap up the show with POPlitics with Alex Clark as she dives into a very juicy story about Britney Spears' sister, Dan Bongino being a hero, and more!"
SouthwestGasInvestment,Big money out-of-state solar developers are trying to pull the strings in Lansing to line their own pockets – SPEAK OUT!
OilAndGasTax,Raising taxes on the U.S. natural gas and oil industry could put our economic recovery at risk! Call Rep. Sharice Davids at 913-766-3993 and tell them: new taxes on U.S. energy is a BAD idea!
NeedQuickResponseForClimateCrisis,Michael Mann wrote this about what the #IPCC #ClimateReport means for our planet and the need to take bold action.
AgencyToStopClimateChange,"Sorry to interrupt your scrolling, but this climate update is important:

A recent report from the U.N. just confirmed that 2020 was one of the three hottest years on record. Climate change drives people from their homes, separates families, and jeopardizes livelihoods. And the most vulnerable to these effects are families and communities already facing conflict and poverty. 

But while the climate crisis discriminates, our efforts to fight it cannot. That’s why we're committed to taking action, and we’ve set a goal to collect 2,500 signatures before midnight: Will you add your name to show your support for communities most deeply affected by climate change?"
PoliticalActivismForRenewableEnergy,"""We can’t wait anymore. Our waters are warming, our fish are dying, our lands are burning."" — Native Peoples Action

You can tell Senator Lisa Murkowski that Alaskans want bold climate action now by visiting bit.ly/AlaskaClimateAction

#TimeIsNow #AlaskaClimateAction #ClimateChange. "
EconomicAdvantagesOfRenewableEnergy,Rep. Davids wants to strengthen America's economy with millions of good-paying clean energy jobs - to recover now and build for the future.
ChallengesFacingRenewableEnergy,"Cutting down trees and burning them to produce electricity creates more climate-busting carbon pollution than coal, gas, or oil. Now Congress wants to label this a climate solution. It’s not. It’s an industry bailout. Please tell Senator Merkley to work with the Biden administration to ensure our forests aren’t used as fuel for electricity."
ProtectFromHarmsCausedByFossilFuels,"As the nation faces wildfires, droughts and storms made worse by climate change, the need to #cutmethane has never been more urgent. 

Thank you to Senator John Hickenlooper & Senator Michael Bennet for urging strong federal EPA pollution rules that follow CO's lead. https://bit.ly/2ZNFYBw. "
InroadsMadeByRenewableEnergy,"Nevada lawmakers are considering an important policy — the Responsible Energy Planning Bill — that would require the state to begin planning for the transition away from polluting (and dangerous) methane gas.

Nevada’s shift to clean energy can’t wait. Tell your Senators to vote #YesOnAB380 today!"
CallsToInvestInRenewableEnergy,"“By investing in clean energy; energy efficiency; and zero-pollution trucks, buses and cars we can protect the health of every community, clean up our air, provide affordable energy, and create good-paying jobs.”. "
PoliticalActivismForOilAndGas,"#frackJoeBiden

Unlike anything ""government-funded"", it's actually FREE to sign up to join Oil & Gas Workers Association.

WE NEED YOUR HELP!
Make a contribution to Support OGWA at
ogwaUSA.com/giving

Oil & Gas Workers Association is working to secure and advance AMERICAN #oilandgas jobs.

#ogwausa #RealAmericanJobsPlan #energy #drilling #offshoredrilling #pipelines #fracking. "
SupportForRenewableEnergy,"Thank Representative Slotkin for championing the Build Back Better agenda. 

When it comes to responding to the climate crisis, we can all be part of the solution. From protecting care workers to investing in climate change defenses, we are calling on our leaders in one voice to pass the Build Back Better agenda."
SupportForOilAndGas,"For more than a century, access to American resources and the ability to deliver them nationwide has powered our country’s progress. The same holds true for Oklahoma — the oil and natural gas industry is our economic engine. 

The hardworking men and women of our state's oil and natural gas industry are ready to power our nation’s progress for decades to come. All we need is energy policy driven by common sense rather than partisan politics.

Read more from Petroleum Alliance President Brook Simmons: https://bit.ly/3o8dye6. "
DonateToSupportClimateChangeActivism,"Donate now and have your impact doubled with a generous $1-for-$1 match. 

As we take a fresh breath of relief with new leadership in Washington, we look ahead towards ambitious climate action and a more sustainable future. Help us make real change today."
InroadsMadeByOilAndGas,The Texas oil and natural gas industry is committed to delivering solutions that reduce the environmental impact of operations while simultaneously meeting society’s growing energy needs.
EconomicAdvantagesOfOilAndGas,"The power of oil and natural gas is the lifeblood of Colorado's innovation and propels our economy.

The energy we create turns the engines of technology, fuels the passion of inventors, and drives the latest breakthroughs of science."
SupportForBuildBackBetterAct,"Huge news: The House just voted to pass the Build Back Better Act!

Thank you, Rep. Neguse, for putting Colorado's working families first by voting to create clean energy jobs right here and take on climate change right now."
SupportForNuclearEnergy,"Braidwood, Byron, Dresden, and LaSalle nuclear plants provide 2/3 of Illinois’ clean energy. Two of the plants—and 1,500 direct jobs—will be lost this year if Springfield doesn't act now."
EconomicAdvantagesOfNuclearEnergy,"Nuclear power is a carbon-free energy source -- our largest and most reliable one, to boot!"
InroadsMadeByNuclearEnergy,This 5th grader thinks nuclear power is essential in Illinois for one BIG reason. Click to find out what it is!
