theme	tweets
AntiGunBan	"Reason 201 to vote Yes on Recall: Greasy Gavin's destructive unemployment crisis. 

It's clear that Gavin will do anything to stay in power and achieve his radical agenda!
 
Will you help us GIVE NEWSOM THE BOOT by sending in a contribution of $25, $50, $100, $250 or whatever you can today?
https://secure.anedot.com/california-federation-of-college-republicans/donate

###

The California Federation of College Republicans has over thirty chapters and is the only nationally recognized state association of College Republicans for California. In the 2020 election cycle, CFCR volunteers contacted over one million voters on behalf of CAGOP endorsed candidates, setting a College Republican record.
#RecallGavin #RecallNewsom #recallgavinnewsom #recall. "
AntiGunBan	"Speaker Pelosi is forcing Capitol Police to arrest anyone not wearing a mask in the Capitol Complex. 85% of Representatives and 70% of the entire workforce are vaccinated. This just shows their COVID power grab has no end: no matter how many are vaccinated, no matter what the science says, no matter what length they must go to enforce their edicts.  
 
Today, if you fail to wear a mask in THE PEOPLE’S HOUSE, you will be arrested … not because of a law your representatives passed but because of an edict from Nancy Pelosi."
EnvironmentalConservation	"Calll Senators Eggman, Hueso, and Hertzberg today!

Call Sen. Eggman (Stockton, Tracy, Modesto San Joaquin Valley).
(202) 618-4297 or (209) 948-7930

Call Sen. Hueso (San Diego, Imperial County) 
(844) 672-5067 or (619) 409-7690

Call Sen. Hertzberg (Van Nuys, San Fernando Valley) 
(218) 209-4082 or (818) 801-5588

These three Senators are keeping SB 467, a bill that would protect our families from oil and gas activities, from moving forward.

Call them now. Find additional contact information here: http://findyourrep.legislature.ca.gov/. "
EnvironmentalConservation	"What is the #BidenChallenge? Well, it’s based on Joe Biden not being able to successfully walk up THREE steps onto Air Force One.

Today, Benny Johnson took to the stairs to see if average Americans were brave and strong enough to complete this INCREDIBLY DIFFICULT #BidenChallenge...walking up three steps.

This episode is 🤣🤣🤣. "
SchoolBoardFinances/GasInfrastructure	Nevada and Arizona will face first-ever cuts to their Colorado River supplies next year, federal officials reported. 
SchoolBoardFinances/GasInfrastructure	@[338496480123981:Lewiston Mayor Mark Cayer], disturbed by all the big oil and gas money pouring into our state, is voting NO on question 1.
AntiGridDeregulation/PoliticalActionAds	"Richmond VA
Political Leadership School

Click here to register

https://www.facl-training.org/schools/events/richmond-va-pls-02oct2021

– How YOU can become effective in politics and make the politicians do what YOU want

STARTS ON Saturday, October 2nd, 2021 - 9:00 AM

Are you respected by politicians?

Unless you are politically feared, you will not be politically respected.

Learn WHY this works…. Learn HOW YOU can be feared AND respected by politicians in the fight for liberty.

This is practical, no-nonsense training built around cutting-edge political strategies and tactics..

If you are ready to DO something to take back power from the politicians and elites for “We The People,” you NEED to attend this class on Saturday, October 2nd, 2021 in Richmond, VA.

This intense one-day training covers:

The Real Nature of Politics - why just ""educating"" people alone won't result in change;
The Biggest Lie in Politics - and how the political class uses your convictions against you;
How to work effectively at the Capitol - getting a bill sponsor and a roll call vote despite the leadership; and
How to put pressure on legislators.
All of our instructors have years of experience putting these principles to work in multiple states.

Many have worked on federal, state and local campaigns, including major presidential campaigns, and successful campaigns for U.S. Senate and Congress. They know what works, and also what has been proven not to work in getting politicians to vote right.

This class will teach you how to turn your passion into effective action to advance liberty."
AntiGridDeregulation/PoliticalActionAds	"Join the fastest growing grassroots group in Virginia and learn how to FIGHT and WIN to Restore our Commonwealth!

Unless you are politically feared, you will not be politically respected.

Learn WHY this works…. Learn HOW YOU can be feared AND respected by politicians in the fight for liberty.

This is practical, no-nonsense training built around cutting-edge political strategies and tactics.

If you are tired of crony-capitalism, corporate handouts and politicians only looking out for their next re-election, this class might be for you.

If you are ready to DO something to take back power from the politicians and elites for “We The People,” you NEED to attend this class on Saturday, February 19th, 2022 in Orange, VA.

This intense one-day training covers:

The Real Nature of Politics - why just ""educating"" people alone won't result in change;
The Biggest Lie in Politics - and how the political class uses your convictions against you;
How to work effectively at the Capitol - getting a bill sponsor and a roll call vote despite the leadership; and
How to put pressure on legislators.
All of our instructors have years of experience putting these principles to work in multiple states.

Many have worked on federal, state and local campaigns, including major presidential campaigns, and successful campaigns for U.S. Senate and Congress. They know what works, and also what has been proven not to work in getting politicians to vote right.

This class will teach you how to turn your passion into effective action to advance liberty.

If you’re ready to learn how to be effective AND feared by politicians,  register for this class on Saturday, February 19th, 2022 in Orange, VA. We’ll even throw in lunch."
CleanEnergyGoals	Question 1 gives politicians the power to impose dangerous retroactive laws, slowing job creation and Maine’s economy.
CleanEnergyGoals	Wildlife is severely affected by reduction of rainfall and a lack of water. Click here to learn more. #ProtectWater #NMpol. 
BellbrookSugarcreekConservativeElections	"""The judiciary must remain impartial and non-political in order to do its job""

In 2022, we will look at potential candidates for upcoming Judicial seats in Greene County as they become available.

It is time for the taxpayers of Greene County to be given the opportunity to select the ""best and the brightest"" in our legal community.

We will be asking the hard questions and presenting the truth/facts/evidence on who deserves your vote for Judge.

For decades the citizens have had Judges appointed/selected by the power brokers for the rich and politically connected in Greene County.

Justice in our community should not be based on if you are rich or poor, the color of your skin, or if you're politically connected.

For far too long, some in our community have been above the laws of Ohio, protected by those within the courthouse.

This has to end.
This is why ""your VOTE Matters.""

Who wears the ""Black Robes"" and sits in judgment in Greene County, will be one of the most important decisions you make in any given election cycle. 

It is time to choose wisely."
