theme	top_25_tweets
GreenEnergySupportsCommunities	Birds need your help. Join Audubon as we fight to stop massive giveaway of public lands in Alaska that are home to three national parks and five wildlife refuges. We need to preserve traditional land uses and conserve wildlife habitat, not destroy it.
BellbrookWokeRadicals	The plan for a government-takeover of Maine’s power grid would cost $13.5 billion. That’s more than $17,000 in debt for average customer. What do you think of the plan? Take our poll: https://bit.ly/31N2eg2. 
ClimateChangeMovements	What happens when academics lose objectivity over climate change science?
ClimateChangeMovements	California Department of Water Resources Drought Manager, Jeanine Jones, answers questions on recent storm.
AbandonedWells	Question 1 gives politicians the power to create retroactive laws and sets a dangerous precedent for Maine.
RestoreVirginia	Support an organization making a tangible, lasting impact on world hunger: Last year Mercy Corps reached over 3.7 million people through our food security work that goes far beyond handing out food. Mercy Corps works to resolve underlying causes of hunger, from environmental disaster to the economic crisis caused by COVID-19. Support our work alongside people across the world—donate now.
BuildBackBetterActPassed	Take it from the President of Duke Energy: diverse energy sources are critical to keeping Indiana running. Vermillion County has the opportunity to play a critical role in Indiana’s clean energy future.
OilAndGasSupportJobs	Meet Owen! Thanks to the Friends of Coal Scholarship, he has been able to continue his Mining Engineering degree at the University of Kentucky. This scholarship is made possible because of the Friends of Coal license plate. Show these students and their families your support by purchasing a license plate today!
GoBold	Heavy Duty Hydrogen: Hyundai is aiming to put hydrogen fuel cell powered heavy duty trucks on US roads before the end of 2021. These zero emission trucks were part of a trial in Switzerland & have an estimated total range of about 250 miles. Learn more - https://www.motorauthority.com/news/1132404_hyundai-hydrogen-electric-semi-to-hit-us-roads-in-2021. 
GreenEnergyCreatesJobs	"⚡Commercial operations have begun at EDP Renewables North America’s (EDPR NA) 104-megawatt (MW) Crossing Trails Wind Farm, the first of eight new renewable energy projects announced in Tri-State’s Responsible Energy Plan. The project is Tri-State’s fifth wind project.  Learn more here: https://tristate.coop/crossing-trails-wind-farm-achieves-commercial-operation
 
💨Tri-State receives all of the power from the wind farm, which is located 20 miles south of Seibert, Colo., within Kit Carson and Cheyenne counties and the service territory of Tri-State member K.C. Electric Association.
 
💨Crossing Trails consists of 20 Vestas V150 4.3 MW and five Vestas V136 3.6 MW wind turbines, and will produce enough electricity to annually power the equivalent of approximately 45,000 average homes.
 
💨With blades stretching more than 240 feet, the 4.3 MW wind turbines are among the largest and most advanced turbines installed in Colorado to-date, and boast increased efficiency and cost-effectiveness.
 
💨Various components of these wind turbines were constructed at Vestas facilities and within Tri-State member cooperatives’ service territories, including Poudre Valley REA, United Power, and San Isabel Electric Association.

Duane D. Highley. "
RestoreVirginia	How to talk to kids about climate change.
ClimateChangeMovements	It's the problem that won't go away. Over the last 10 years, the lesser prairie chicken has been the subject of controversy and litigation. The oil and natural gas industry has willingly enrolled in conservation measures to minimize the impact of exploration and development on the land lesser prairie chickens call home. $60 million later... those efforts STILL aren't good enough for far-left environmental activists who are actively trying to stop production of oil and gas. We remain willing to work with the U.S. Fish and Wildlife Service to minimize negative impacts on oil and natural gas developments while still protecting the efforts to increase prairie chicken populations.
