theme,tweets
AdvocateForGreenEnergy,"Climate change is water change. This year alone we've seen the dreadful impacts of hurricanes, droughts, fires, and sewage overflows across the country and in many places around the world. This is only the beginning, but it doesn't have to be this way. That's why the Massachusetts Clean Water team is launching an #ActOnClimate challenge -- what can each of us do this fall to fight for a better future and reaffirm our commitment to climate justice? We choose action, not despair! What about you?"
AdvocateForGreenEnergy,Climate change is deepening inequality. Learn how you can make a difference.
GreenPowerExpensive,"We've said it once, we'll say it a million times — the far left (and climate-obsessed legislators) cannot seem to grasp how essential oil & natural gas is to powering human progress. Instead of punishing our industry, American politicians should be promoting it. ➡️ Click the link in our bio to read more!"
GreenPowerExpensive,"Even while adding a new customer every minute and more than 780,000 miles of natural gas pipeline, the natural gas industry has a proven track record of reducing emissions. 

Tell your senators that the energy tax will put more burden on the 180 million Americans who rely on natural gas to fuel their homes."
ClimateActionDonation,"⚠️2X MATCH ALERT⚠️

The headlines make it clear: We need to do more to solve the climate crisis before it’s too late. Help us fight for President Biden’s pro-environment agenda:

☑️ Act immediately to combat climate change
☑️ Permanently protect the Arctic from drilling
☑️ Defend vulnerable communities
☑️ Stand up for nature, wildlife, and ecosystems

Donate now and your gift will be matched!"
ClimateActionDonation,"𝐒𝐨𝐫𝐫𝐲 𝐭𝐨 𝐢𝐧𝐭𝐞𝐫𝐫𝐮𝐩𝐭 𝐲𝐨𝐮𝐫 𝐬𝐜𝐫𝐨𝐥𝐥𝐢𝐧𝐠, but Earth Day is quickly approaching. With experts saying we only have nine years to stop irreversible damage from climate change, we must mobilize to urge action from the Biden administration NOW. We’re fighting to protect our planet and communities — but we can’t do it without supporters like you. Please, rush a donation before midnight and have your gift TRIPLE-MATCHED up to our $15,000 Earth Day goal!"
GreenEnergyWorks,The U.S. leads the world in energy production while continuing to help reduce greenhouse gas emissions. Like our page to learn some of the ways we’re innovating.
GreenEnergyWorks,"Energy efficiency is critical to a clean, secure future for all Michiganders!"
AdvocateForGreenEnergyPoliticalAction,"We need to make swift changes to our environmental infrastructure to curb the rapid threat of climate change. We moved backward in the last four years and we need to make progress NOW!

🚨Add your name before time runs out🚨 Push Congress and the Biden Administration to make these critical changes >>. "
AdvocateForGreenEnergyPoliticalAction,"𝟏𝟎,𝟎𝟎𝟎 𝐑𝐄𝐒𝐏𝐎𝐍𝐒𝐄𝐒 𝐍𝐄𝐄𝐃𝐄𝐃 | 𝟏𝟏:𝟓𝟗 𝐏.𝐌. 𝐃𝐄𝐀𝐃𝐋𝐈𝐍𝐄

From the wildfires scorching California to Hurricane Ida causing flooding and destruction, it is clear that devastating extreme weather events will become more common and destructive if we don’t act now to prevent climate catastrophe. Stacey Abrams is demanding Congress take bold climate action by passing the Build Back Better Act NOW.

We need 10,000 climate activists to make their voice heard before MIDNIGHT, and your vote is missing. Do you support bold climate action?"
AntiTax,"Gov. Tom Wolf did his best to confuse voters and obfuscate the language of two proposed amendments that would check his power during an emergency declaration. Fight for lives, livelihoods, and liberty by voting ""YES"" on May 18."
