theme	top_25_tweets
TackleClimateChange	In the U.S., heat represents the deadliest type of extreme weather, , a reminder that it’s important to continue to identify and invest in climate mitigation strategies.
AntiWoke	Make no mistake, this is an attempt to upset the delicate constitutional balance of power with the most aggressive series of coordinated political power grabs the commonwealth has ever seen.
TackleClimateChange	Can you spare three minutes for 3X the impact for our ocean? Our board and generous donors are tripling Giving Tuesday donations.
ClimateActionDonation	"October 6th is both World Energy Efficiency Day and California Clean Air Day! These two important days go hand-in-hand, as one way to reduce emissions is to increase fuel efficiency.  

Less fuel consumption = Less  emissions. 

If you are interested in learning more, check out our “Technology Innovations” video series. 

In this video below, we examine known problems affecting our air and explain how we are implementing innovative technologies in the pursuit of a healthier world. 

https://bit.ly/3iFGWpQ. "
PoliticalActivismForOilAndGas	"We're putting a spotlight on Oklahoma's oil and natural gas employees — meet Jess Tarrant, technical sales for J.P. Consultants.

Jess' favorite thing about working in the oil and natural gas industry is the pace of work! It might be chaotic and around the clock, but he powers through with an energy drink in hand and Blink-182 cranking through his headphones (at least, that was his favorite band in junior high!). Get this: Chuck Norris once taught him how to do a wheelie on a unicycle. 🤯  Is Jess the most interesting man in the world? 🤔 

Click here to learn more fun facts about Jess: https://bit.ly/3m0Bsrs. "
TackleClimateChange	The American Robin is one of too many bird species that need your protection from habitat loss and climate change. As global temperatures continue to rise, the Robin could vanish from 23% of its summer habitat. Start your monthly donation today and take action for birds on the edge of survival.
TackleClimateChange	This recall election is about two visions for California: one that is centered on families and builds on progressive policies that includes us all in a plan to address climate change, housing rights, access to healthcare, and more. Compared with another that pits us against each other instead of focusing on our needs. Vote NO on the conservative recall! #KeepGoingCalifornia. 
NuclearEnergyBenefits	📊📈 Legislative Issue Poll: Liberals are proposing new restrictions on gun dealers that will give unprecedented power to the federal government to delay/deny firearms purchases in all states.  Do you believe the 2nd Amendment is in danger under the Biden Administration?⬇️. 
AdvocateForGreenEnergy	Communities across the Gulf Coast and New Orleans had little time to evacuate or prepare for the devastating impacts from Hurricane Ida. Surprising even weather and climate experts, this storm's growth warns of a new era of extreme weather unless we #ACTNow!
BuildBetterAct	"TLC Live! With Lt. Gov. Dan Patrick, State Rep-Elect John Lujan, and State Rep Candidate Mano DeAyala

Lt. Gov. Dan Patrick joins Orlando and Andrea to speak about the recently concluded sessions of the Texas legislature. While presiding over the Texas Senate, Lt. Gov. Patrick has focused on strategies to keep Texas families and communities safe and the state economy strong. John Lujan, who just won his election for state representative in District 118 with heavy support from TLC PAC, also joins us, as does Mano DeAyala, a candidate for state representative in District 133.

Dan Patrick
John Lujan for State Rep 118
https://www.manoforstaterep.com

Watch TLC Live! On Facebook (https://www.facebook.com/TLCforTexas) or on YouTube (https://www.youtube.com/channel/UCTi1LGIYZDNRyEL08eYm90Q), and Comment Live on Facebook Every Wednesday at 11 AM!"
