theme,tweets
GoBold,"New Mexico's methane rules are the background message for NM Gov. Michelle Lujan Grisham as she talks up the state’s climate efforts at greenhouse gas reductions and green energy technologies at COP26, the UN’s global climate change conference being held in Scotland."
GoBold,"We appreciate Senate President Leroy Garcia's leadership for Pueblo consumers and hope he supports continued efforts to combat climate change.

Pueblo needs to seize these coming opportunities. Our community will be stronger for it."
DemandClimateActionFromLeaders,"⚠️GIFT MATCH ALERT⚠️

NRDC is actively fighting to: 
☑️ Combat climate change
☑️ Permanently protect the Arctic Refuge from drilling
☑️ Defend frontline communities from climate impacts
☑️ Shift to a 100% clean energy economy
☑️ Stand up for nature, wildlife, and ecosystems

There is still time to help. Your donation will help NRDC protect the environment, wildlife, and frontline communities.

Donate before the year ends!"
DemandClimateActionFromLeaders,"Senator Karina Villa voted for the Climate and Equitable Jobs Act and it is now law in the state of Illinois!

The Climate and Equitable Jobs Act will:

✅Curb dangerous air pollution

✅Combat the climate crisis

✅Create thousands of high-quality jobs in Illinois

Please join us by adding your name to thank Senator Karina Villa today."
PublicLandExploitation,"Take the poll:  https://bit.ly/34w9wFZ
A handful of politicians in Augusta are planning to forcibly seize Maine’s power grid through eminent domain. How do you feel about the plan?"
PublicLandExploitation,"Calll Senators Eggman, Hueso, and Hertzberg today!

Call Sen. Eggman (Stockton, Tracy, Modesto San Joaquin Valley).
(916) 651-4005 or (6209)948-7930

Call Sen. Hueso (San Diego, Imperial County) 
(916) 651-4040 or (619) 409-7690

Call Sen. Hertzberg (Van Nuys, San Fernando Valley) 
(916) 651-4018 or (818) 901-5588 

These three Senators are keeping SB 467, a bill that would protect our families from oil and gas activities, from moving forward.

Call them now. Find additional contact information here: http://findyourrep.legislature.ca.gov/. "
BellbrookWokeRadicals,"TPUSA LIVE is the unfiltered, grassroots alternative to mainstream media. Watch daily shows, live in-studio content from TPUSA HQ and weekly shows covering politics, pop-culture, sports and everything in-between. Tune in every weekday starting at 5 PM ET / 2 PM PT.

Check out today’s show! 

Human Events Daily host Jack Posobiec updates us on the First Lady Jill Biden asking if a VP can be removed, discusses how Black Rock loves China, what major accident happened at an Army base, and more!

The TPUSA LIVE team is joined by host, Jon Root, and special guests Isabel Brown, Leyla Pirnie, Drew Hernandez, and Laura Spears who will talk about Enes Kanter slamming the CCP, TPUSA's Professor Watchlist, Loudoun County and more!

Real America host Graham Allen covers the scariest moments from this past week and watch Benny on the Block with Benny Johnson for this Halloween special! 

We will wrap up the show with POPlitics with Alex Clark as she dives into another pop culture documentary involving the WACO Siege."
BellbrookWokeRadicals,"“Kim McCarthy does not support WPAFB. 🇺🇲 HERE IS WHY. 🇺🇲”
She supported the local tax for Bellbrook schools and opposed a tax for Sinclair Community College (in Montgomery County) while living in Greene County. 

Let's explore this contradiction. 

Sinclair offers many students the lowest, and others definitely low cost of tuition in Ohio.

One of the criticism levied against Sinclair was it was providing a facility in Beavercreek for the "" defense industry,"" which was code for 🇺🇲 WPAFB. 🇺🇲

Sinclair provides excellent educational opportunities for young men and women, civilian and military. 

In addition to helping our young people at WPAFB, they have a facility on Clyo Road near Wilmington Pike (next to the BP gas station).

Whatever she is, she is not prepared for leadership, not ready for Sugarcreek.

Too radical, too extreme. She doesn't support the base or helping our young service members access educational programs. 

Why anyone in Greene County would not support the base is beyond me. WPAFB is the largest employer in Ohio and provides for our national defense.  🇺🇲

https://keepsinclairfair.org/disclosure/

Election Watch 21. "
ClimateEmergency,Climate change is the #UltimateSafetyTest.
ClimateEmergency,"𝐌𝐈𝐃𝐍𝐈𝐆𝐇𝐓 𝐃𝐄𝐀𝐃𝐋𝐈𝐍𝐄 | 𝐄𝐕𝐄𝐑𝐘 𝐃𝐎𝐍𝐀𝐓𝐈𝐎𝐍 𝐃𝐎𝐔𝐁𝐋𝐄𝐃 𝐓𝐎 𝐒𝐀𝐕𝐄 𝐓𝐇𝐄 𝐂𝐋𝐈𝐌𝐀𝐓𝐄

Climate change could bring about widespread destruction – but if we take action NOW, we can build a just and resilient future for generations to come. Every donation we receive will be DOUBLED up to our $25,000 goal to help us fight for stronger legislation and save our planet. 𝐒𝐨 𝐩𝐥𝐞𝐚𝐬𝐞, 𝐩𝐢𝐭𝐜𝐡 𝐢𝐧 𝐚𝐧𝐝 𝐡𝐚𝐯𝐞 𝐲𝐨𝐮𝐫 𝐠𝐢𝐟𝐭 𝐝𝐨𝐮𝐛𝐥𝐞𝐝 𝐧𝐨𝐰!"
GreenEnergyCreatesJobs,"Thank Senators Durbin and Duckworth for supporting smart, practical, bipartisan policies that promote conservation by helping reduce carbon emissions. The Growing Climate Solutions Act is the first step toward rewarding farmers, ranchers, and foresters for protecting birds and all wildlife for future generations. Sign up today to show your support!"
GreenEnergyCreatesJobs,"Her future will be here in a blink, and we're working hard to make it one with net-zero carbon emissions."
RestoreVirginia,WATCH: NYGOP Chairman Nick Langworthy Delivers The Official Republican Response to Governor Kathy Hochul's 2022 State of the State. #SOTS2022. 
RestoreVirginia,Don’t you think our teachers deserve a raise? Learn how solar panels are making it a reality-. 
AbandonedWells,"The Orange County oil spill has already threatened:
🐦 Birds
🐟 Fish
🌴 Ecosystems
😟 Communities
💵 Businesses

Every day, our coastal communities and natural world are threatened by Big Oil. Donate to sustain our fight for a 100% clean energy economy, and help prevent future fossil fuel disasters."
AntiFossilFuelInfrastructure,A fuel mandate in Iowa will crush small gas stations and reduce choices for Iowa consumers. Contact your legislators to stop this crushing proposal.
