theme,tweets
DonationMatchingForClimate,"💯💯💯
“President Joe Biden recently called climate change the existential crisis of our time. He’s right. Now let’s act like it.”

Please join MCV in calling on Maine's federal delegation to invest in bold climate solutions, grow clean energy jobs, and make sure communities are not left behind in this transition. TAKE ACTION HERE >>  bit.ly/3hrLJd3. "
DonationMatchingForClimate,"Climate policy is health policy. Supporting a Clean Electricity Standard like the one being considered by Congress can save an estimated 317,500 lives and prevent 12 million asthma attacks over the next three decades. Health professionals know that we need bold climate action now to prevent a climate health emergency. 

Watch, share Virginia Clinicians for Climate Action's new video and take action today at https://www.virginiaclinicians.org/call-to-action."
AbandonedWells,"The transportation sector is the largest contributor of greenhouse gas emissions in the U.S. We MUST invest in electric vehicles to tackle the climate crisis. 

Luckily, Rep. Dingell is fighting for strong provisions to advance electric vehicles while supporting union jobs in the budget reconciliation package. Let’s get this done!"
AbandonedWells,Out-of-state solar developers want to profit at the expense of Michigan's clean energy goals - SPEAK OUT!
GreenEnergyIsCostEffective,"Rocky Mountain Power isn’t switching from dirty fossil fuels​ to clean energy fast enough. It’s worsening the climate crisis, and costing us our planet. 

Expose the cost of its dirty power at https://sc.org/Dirty-Truth. "
GreenEnergyIsCostEffective,"""California’s ambitious emissions reduction plans are driving the state towards a more expensive and less reliable energy system because this vision of their future is based on a 100% renewables, rather than focusing on reducing emissions."". "
ClimateEmergency,The climate emergency is here. Are you ready to take action? Join ACE and make a difference. It’s #NowOrNever.
ClimateEmergency,"Right now, we have the opportunity, power, and technology to address the climate crisis head on. With the #BuildBackBetterAct we can invest in future generations by taking bold climate action. https://bit.ly/3phzq79. "
NuclearRevenueSupportsJobs,"For over a decade, Colorado’s oil and natural gas industry has used state of the art, innovative technology to help reduce 95% of greenhouse gas emissions and reduce the risks of climate change while providing the energy Colorado needs. In fact, oil and natural gas have reduced emissions by 50% in the last ten years.

Learn more: https://www.cred.org/tomorrow. "
NuclearRevenueSupportsJobs,The Texas oil and natural gas industry is committed to delivering solutions that reduce the environmental impact of operations while simultaneously meeting society’s growing energy needs.
HazardsOfWells,"Illinois is on the verge of passing a climate bill that will create thousands of jobs, hold utilities like ComEd accountable, and invest in communities like Waukegan impacted by coal plant closures. Tell your legislators to vote YES this week!"
HazardsOfWells,Carbon pollution is building in our atmosphere scary fast. We have to act now. Later is too late.
VirginiaConservatives,"SUPPORT CANDIDATES WHO TAKE CLIMATE CHANGE SERIOUSLY

We support Council candidates who take climate change and its related challenges seriously. When it comes to action, Byron Matto --Byron Matto Portsmouth City Council -- doesn't just talk the talk. He's installed solar arrays on his roof that generate an amazing 120% of his households electricity consumption. He's trying to figure out what to do with the energy credits that are piling up. 

A vote for Byron on November 2 is a vote for forward-looking environmental and sustainability policies for Portsmouth.

Meanwhile, at last night's council meeting Councilors Cliff Lazenby and John Tabor for Portsmouth City Council successfully led the Council to create the Portsmouth Energy Advisory Committee. That's exactly the kind of initiative we want to see."
VirginiaConservatives,"It’s not always easy to do the right thing, but State Representative Isabella Fitzgerald stood up to the fossil fuel industry and voted to support clean energy and clean air in Pennsylvania. Help thank Rep. Isabella Fitzgerald by adding your name here.

The Regional Greenhouse Gas Initiative (RGGI) is Pennsylvania’s best shot to cut power plant pollution and grow a clean energy future.

Rep. Isabella Fitzgerald put Pennsylvania first. She stood up to the dirty fossil fuel industry and voted to support Pennsylvania's entry into RGGI. Rep. Isabella Fitzgerald chose to defend our state’s future and invest in Pennsylvania families. Add your name here to say thank you to Rep. Isabella Fitzgerald, and urge them to hold the line!"
DemandClimateActionFromLeaders,"Mayor Johnson, it’s time to declare a climate emergency. We need bold climate leaders to protect Milwaukee."
DemandClimateActionFromLeaders,Pittsburgh needs a bold climate leader. Tell Mayor Gainey to declare a climate emergency now!
PublicLandExploitation,"TAKE ACTION: Southwest Gas dumps millions of customer dollars into new fossil fuel infrastructure without accounting for the future: future financial responsibility, future climate impacts, future public health problems. 

We have a chance to protect our communities from corporate polluters this Legislative Session.  Learn more here:--------> sc.org/responsiblenevada. "
PublicLandExploitation,"Colorado’s Air Quality Control Commission must strengthen standards to directly regulate pollution from oil and gas well sites near our homes, schools, and workplaces. Take action right away to urge AQCC to require regular leak detection, aerial pollution monitoring and other innovative technologies that are ready and verifiable now. This decision-making process is happening fast, so please take a minute right now to make your voice heard."
GreenEnergyCreatesJobs,For too long our jobs have been exported abroad. Clean energy jobs aren’t going anywhere.
OilAndGasSupportJobs,"𝒀𝑶𝑼𝑹 𝑪𝑳𝑰𝑴𝑨𝑻𝑬 𝑺𝑼𝑷𝑷𝑶𝑹𝑻𝑬𝑹 𝑹𝑬𝑪𝑶𝑹𝑫
𝐌𝐚𝐭𝐜𝐡 𝐆𝐨𝐚𝐥: $25,000
𝐘𝐨𝐮𝐫 𝐃𝐨𝐧𝐚𝐭𝐢𝐨𝐧 𝐓𝐨𝐝𝐚𝐲: PENDING!

Right now, a generous donor is MATCHING every single donation we receive up to our $25,000 goal! That means if you care about protecting our planet and solving the climate crisis, there has NEVER been a better time for you to donate than right now. We’re still falling short of our match goal, so please click below and give now to help us continue our critical work protecting our planet’s future!"
AntiFossilFuelInfrastructure,Fracking has never benefitted anyone’s health. The Permian and Gulf Coasts have become sacrifice zones to the fossil fuel industry’s financial greed. Tell the Biden Administration to prioritize community health.
CleanOilAndGas,"“At a time when energy prices are soaring and some families are forced to choose between fuel or food, our lawmakers are making energy more expensive by supporting increased fees and taxes on natural gas –  price increases that will be passed on to consumers as higher costs for home heating, cooking, and goods and services.”. "
GreenEnergyCapacity,"Solar power has been heating up in Michigan in recent years, with Michigan-based businesses and industries partnering with local energy providers to help advance this renewable resource. These projects include everything from private installations that help businesses reach their own net zero energy goals to universal solar projects that connect entire communities to renewable energy. Learn more: https://bit.ly/2LAHsoe. "
CutMethane,"It's time for climate action. Please share and help make a statewide call for action by legislative, government, business, agricultural, and community leaders to lower Pennsylvania's greenhouse gas emissions and protect Pennsylvanians from worsening climate change impacts.
➡️ https://bit.ly/37wTlHb. "
CommerceCityDemocrats,"📣 This week is a busy one! We have two live upcoming events, and we want you to join us! 

🌎 First, we have our Beyond #NoDAPLE: Women of the Movement conversation between Rep. Ruth Buffalo (Mandan, Hidatsa, and Arikara Nation), Tara Houska (Couchiching First Nation), Tokata (Future) Iron Eyes (Standing Rock Sioux Tribe), and Fawn Wasin Zi (Standing Rock Sioux Tribe). As activists, advocates, politicians, and teachers, these Women of the Movement will discuss their leadership, activism, current roles, and future plans. 

⌚️Thursday, May 20TH, 2 PM PDT: https://fb.me/e/RXMLppau

🔥Then on Friday our General Manager, Joseph McNeil Jr., will join Jane Fonda, Colette Pichone Battle, and Tim Donaghy for Fire Drill Fridays where they will discuss the ways in which fossil fuel companies harm BIPOC communities, and how Biden and Congress can take historic action to end fossil fuel racism.

⌚️Friday, May 21st, 11 am PDT: https://fb.me/e/2aEUDX5wk. "
RestoreVirginia,"It was House Minority Leader Blake Filippi’s turn to address the Warwick Rotary Club Thursday, and he didn’t waste time tearing into what House Speaker K. Joseph Shekarchi listed as major legislative achievements.

It wasn’t all negative, either. As positive accomplishments, Filippi cited greater controls on the governor’s emergency powers, additional funding for the Department of Children, Youth and Families, and a provision enabling those who were granted a PPP loan of $250,000 or more to file the loan as a grant in next year’s return rather than amending the return at an added accounting expense.

Brandishing a copy of the speaker’s news release, Filippi said, “what concerns me is what’s missing. There’s some things on here I like there’s some things on here. I’m absolutely opposed to that are wrong for Rhode Island. But there’s a lot of missing things. And I’ll start with that. What’s missing in this past legislative session is any help for small businesses.”

He said nothing was done for small businesses, “And we didn’t focus on them. And they’re the ones who needed our help this the past six months.”

Filippi said there are ample bad things to come out of the session but, “I’m just going to focus on the biggest bad thing. We passed this thing called the 2021 Act on climate.”

Filippi said the measure “massively changes the way our government operates”

He said the act gives a coordinating council the power to advise the governor on how to reduce greenhouse gas emissions. He said it takes a purely advisory body and gives them added responsibilities.

“It commanded them to come up with a plan, even if it were economically ruinous for the state…it doesn’t matter, they have no discretion. They must adopt a plan to reduce our greenhouse gas emissions by 45%, below 1990 levels by 2030; 80%, below 1990 levels by 2040.”

“So they have to adopt this plan. Once that plan is adopted, every organ of state government is mandated no discretion to adopt regulations to carry that plan forward, essentially, to require all of us … businesses, municipalities, offices, individuals, to pass regulations which govern our lives. “

Filippi said a state report calls these goals unachievable unless Rhode Islanders decarbonized homes and businesses with the elimination of oil, propane, natural gas, heat, and going to all electric cars.

“This is something that a regulatory body should not be imposing on the citizens of this state.”

He said such regulations should be the purview of legislators elected by the people. He said the act would “massively, massively drive up costs.” The result, he said, will be to drive businesses out of the state.

https://cranstononline.com/stories/climate-bill-is-biggest-bad-thing-of-legislative-session-says-gop-leader,164326?fbclid=IwAR3iKpjAfGdRd_ci0MZF5mznjtar9kRXWK9tBiCrKcIuRelE9wATuROEH7A. "
ThankRepForBuildBackBetter,"Huge news: The House just voted to pass the Build Back Better Act!

Thank you, Rep. O'Halleran, for putting Arizona's working families first by voting to create clean energy jobs right here and take on climate change right now."
BellbrookTaxRevolt,"The BIG LIE!
Price is now alluding to bring back bussing, a promise that will be broken, saying anything to try and pass this $22,540,000.00 million dollar property tax levy.

With the levy defeat looming, desperation is apparent, board members are saying anything to try and change the tide of the coming PROPERTY TAX REVOLT.

Price is using EXTORTION. 
Give us the $22,540,000.00 million dollars and we will bring back SOME BUSING!

This is a false promise, a bald-faced lie, bait, and switch, believing the taxpayers will fall for his BS.

Price is now alluding to bring back bussing, a promise that will be broken, saying anything to try and pass this $22,540,000.00 million dollar property tax levy!

Again Kiven Price is droning on again, giving a self-serving, he's so great speech. It is so inappropriate. He just runs over David Carpenter, who can not control this board meeting, and does whatever he wants.

When Price talks bring a pillow, it's a snooze fest.

Come November, it will be time to get rid of the appointed government bureaucrat.

A monumental change is coming in the power structure of this property tax-loving school board.

Kevin Price can not be trusted.

Please join the Bellbrook-Sugarcreek Property Tax Revolt!

NO MEANS NO!"
BellbrookWokeRadicals,"Now that Hilcorp has managed to stem the production decline at Prudhoe Bay, what’s next? Forbes sat down with Hilcorp founder Jeffery Hilderbrand and asked him how much more oil can the Hilcorp model wring out of Prudhoe Bay? The answer is very good news.

“The limit to most good oilfields comes when someone runs out of good ideas, not when the field runs out of oil,” Jeffery Hildebrand said. “It won’t be one big thing: It won’t be all of a sudden we’ve had this one great idea that’s made Prudhoe Bay different than what it was before. It will be the accumulation of lots and lots of little things driven both at the field level and at the office level that will really make that difference.

“I think there’s a lifetime’s worth of them.” You can read more of the interview here."
GreenEnergySupportsCommunities,"Tell Congress to support the clean energy industry, which provides high-quality jobs for people in Arizona like John Liebau."
NuclearEnergyProvidesTaxRevenue,Illinois' nuclear plants provide reliable power and thousands of clean energy jobs. Show your support by liking our page today.
TellRepToNotRaiseOilGasTaxes,"The key to our state's economic success is a stable and strengthening oil and natural gas industry. More than 300,000 Oklahoma jobs are tied to our industry, which accounts for $32.7 billion in wages and more than $57 billion to the state's economy. Petroleum Alliance President Brook Simmons believes there's reason to be optimistic about a brighter future — click the link in our bio to learn why!"
OilAndGasProvidesWages,"We are here to provide resources, news, and policy updates to America’s natural gas and oil workforce. Join us today."
CelebrateBuildBackBetter,"Mothers for Nuclear knows when working in tandem with renewables like wind, solar and hydro, nuclear energy can power our national and global community toward a clean energy future. Read up on why nuclear energy must be included in COP26 conversations: https://bit.ly/3mb4LZb. "
ClimateChangeMovements,"This morning, President Biden announced that the U.S. will cut its climate emissions in half. The momentum is clear. This is our greatest opportunity to make real progress on climate change. Help us make it happen – donate today."
