theme,tweets
GoBold,"Don't believe the false attacks on Senator Cortez Masto. The Build Back Better Act will: 

1. Create clean energy jobs right here in Nevada 
2. Help lower energy costs for working families 
3. Take on climate change right now

Thank you, Sen. Cortez Masto, for keeping up the fight to pass the Build Back Better Act."
GoBold,General Electric promised to “build a world that works.” It’s time to deliver on that promise. #GreenJobs. 
DemandClimateActionFromLeaders,"President Biden’s American Jobs Plan will fix our infrastructure, create millions of good-paying jobs, and ensure safe, lead-free drinking water for all. 

Congress needs to put that plan into action NOW. Call on Congress to invest in our communities, fight climate change, and usher in an equitable 100% clean energy future!"
DemandClimateActionFromLeaders,Thank Senators Klobuchar and Smith for fighting for farm families and a healthier environment for birds and people. The Growing Climate Solutions Act is the first step toward raising farmer income while reducing carbon emissions. Sign up today to show your support!
PublicLandExploitation,"Colorado towns and counties, including some in Rep. Lauren Boebert's district, are passing resolutions supporting President Joe Biden’s executive order to indefinitely pause new oil and gas leases on federal public lands."
PublicLandExploitation,Not ever: No coal ash. No sewage sludge. No out-of-state waste. No hazardous industrial waste. Be an informed citizen. You can read details about our proposal for yourself on our website.
BellbrookWokeRadicals,"Since the Paris Agreement, Citi has been the world's 2nd largest funder of dirty fossil fuels. Despite promises to change their ways, so far there's been little action. Will new CEO Jane Fraser make a break from the past and #DefundClimateChaos?

Join us in urging Jane Fraser to put an end to Citi’s dirty fossil fuel legacy: sc.org/citi. "
BellbrookWokeRadicals,"First, DC liberals spent trillions of our dollars. Now, Americans are facing record inflation and are paying more for gas and groceries. Their plan now: Nancy Pelosi and her liberal allies are pushing for new tax hikes and another socialist healthcare plan.
 
Click below and sign up to tell Antonio Delgado enough is enough."
ClimateEmergency,Protecting your kids from climate change.
ClimateEmergency,Climate change is the Ultimate Safety Test. That’s why we’re changing to all-electric. Starting today. #ForEveryonesSafety. 
GreenEnergyCreatesJobs,"ENERGY ACTION ALERT: Sign the petition if you support affordable and reliable energy. Together, we can our voices heard and protect consumer choice."
GreenEnergyCreatesJobs,Rep. Bourdeaux wants to strengthen America's economy with millions of good-paying clean energy jobs - to recover now and build for the future.
RestoreVirginia,"Will you chip in $25 to support re:power alumni like, Baltimore City Council Member Kristerfer Burnett? re:power’s candidate development trainings helped Kristerfer develop skills needed when running for office."
RestoreVirginia,"IS PORTSMOUTH READY FOR ITS FIRST WEEK OF 110-DEGREE DAYS?

We doubt it, but we should be. It’s just a question of when it will happen. We believe addressing climate change should be regarded as an emergency and be a top priority for the next and future councils. And there ARE things we can do as both individuals and a community.

Meanwhile:

This week, Councilors Cliff Lazenby and John Tabor for Portsmouth City Council spearheaded the creation of the Portsmouth Energy Advisory Committee. 

Our Sustainable Practices Blue Ribbon Committee is presenting Project Drawdown in the coming weeks to help citizens understand how they can get involved in what needs to be a community-wide effort.

Councilor Lazenby has spearheaded the city’s interest in https://www.cpcnh.org/, a very exciting new development for communities to increase their own production of renewable energy.

https://oneride.peopleforbikes.org/learn-more. "
