theme,tweets
AdvocateForGreenEnergy,"On August 1, one of our drivers reported #oiltheft at Croton Colonial Restaurant & Diner in Croton-on-Hudson, NY, where thieves had broken into and robbed this Buffalo Biodiesel vat, tearing off all of its protective gear. We recycle the used cooking oil to make sustainable biofuel—instead, it’s being targeted by interstate organized crime rings. If you witness or have any info of an #oiltheft at our vats, please call 911 and then report it to us at 1-800-721-1427.
News 12 Westchester lohud ABC7NY Daily Voice Northern Westchester Daily Voice Northern Westchester CBS New York. "
AdvocateForGreenEnergy,One common misconception about renewable power is that it’s unreliable. This couldn’t be further from the truth -- this new video from American Clean Power Association and American Council on Renewable Energy (ACORE) explains how the grid functions to keep clean power reliable nationwide:. 
ClimateActionDonation,"In North Carolina, the costs of severe weather events surged from $590 million in 1980 to $1.7 billion last year. Climate change is driving more frequent and stronger storms -- and it will only get worse without urgent action to limit climate-warming pollution. https://bit.ly/3h7JXyo. "
ClimateActionDonation,"California’s farms help feed the nation, but not everyone has equal access to the healthy foods they produce. 

Climate change and toxic pesticides threaten our food and put farmworkers, children, and communities at-risk. 

We need to create a healthier, more equitable, just, and climate resilient food system in California."
AntiWoke,Watch LIVE as Charlie Kirk fights racist indoctrination at Minnesota State University - Mankato for the Exposing Critical Racism Tour!! #criticalracismtour #biggovsucks. 
AntiWoke,We rely on high-tech innovation and a specially trained workforce to keep our pipes safe by monitoring them 24/7. We’re prepared to shut down our pipeline immediately if any irregularities are detected.
DemocratOutreach,"FREE COVID-19 VACINATION CLINIC! AND FOOD PACKAGES, DIAPERS FOR THE COMMUNITY! NEED HELP WITH RENT OR EDD/UNEMPLOYMENT INSURANCE (UI) COME ON BY TO THIS EMPLOYEE RIGHTS CENTER EVENT!  4265 FAIRMOUNT AVENUE (Next to the gas station, corner of El Cajon Blvd and Fairmount Avenue) If you have questions, please call 619-995-8973."
DemocratOutreach,"New York Republican Chairman Nick Langworthy continues his statewide “Just Say No” tour in Owego. He is highlighting the Party’s opposition to November election ballot propositions related to election integrity.

Tioga County, NY Republican Committee. "
StopOilPollution,"New Mexicans can no longer rely on a broken system that benefits a handful of well-connected oil and gas CEOs at the expense of our air, land, water, health and long term economic stability. Tell Congress to fix it!"
GreenEnergySavesMoney,"As we head outside this summer, understanding how electricity works can keep you and your loved ones safe. Learn more and remember to contact your local utility or PPD for more information."
AdvocateForGreenEnergyPoliticalAction,"Hundreds of anti-voter laws are being proposed across the country, many of them targeting voters of color, young people, and new voters. The For the People Act will stop the worst of these laws. Congress must protect the freedom to vote and pass the For the People Act immediately. 

Without action, our democracy and our access to it is in serious jeopardy, which is why the Senate must ensure fair elections, protect the freedom to vote and pass the For the People Act! To take action, visit sc.org/4thepeople or text ""FTP"" to 69866 to call your Senators now. Special thanks to Geena Rocero."
OilCreatesJobs,"Stephanie Bice is committed to supporting our veterans, ending wasteful government spending, and advocating for Oklahoma oil and gas jobs that employ tens of thousands of Oklahomans. Will you support her today and help her keep fighting against the far left’s agenda? Chip in $10 to stand with Stephanie >>. "
GreenEnergyWorks,"Puerto Rico can be a model for large-scale implementation of rooftop solar energy and battery storage, given the island’s year-round sunlight."
GreenPowerExpensive,"In February 2021, the temperature in Texas dropped below zero. Not a big deal, right?"
NuclearAdvocacy,Maryland needs common-sense solutions for our environmental challenges. Like our page to learn how nuclear carbon-free energy can help.
AntiTax,Inflation isn’t going anywhere until the Biden Administration changes their policies.
TackleClimateChange,"Iowa scientists: Climate change will bring floods, drought and supercharged ragweed. "
LegislatorsMustActAgainstClimateChange,"HUGE wrong way Court of Criminal Appeals ruling gets BIG Amicus Brief response by myself and thirteen other Republican State Senators by filing an amicus brief supporting Attorney General Paxton's request for a rehearing on the Stephens case. You may have already heard about this case, but this is the case that strips all prosecutorial power from the Attorney General's Office. This must be reheard by the Court of Criminal Appeals!!

This is an important legal case to be considered for a rehearing. Because of the CCA ruling, the Office of the Attorney General no longer has the authority to independently prosecute criminal cases in trial courts. The Texas Supreme Court cannot overturn the CCA because they are the same level judicial. Ken Paxton has filed a rehearing motion with the Court of Criminal Appeals on this case. 

If the court does not reconsider its opinion in Stephens v. State and Ex Parte Stephens, election integrity cases will be left exclusively to being prosecuted by local county and district attorneys. The Attorney General’s Office must be able to defend election integrity in our great state. We cannot allow our elections to be manipulated. 

This is an important enough case for you to spread the word to everyone you know! 

I want to thank all my colleagues for dedication to this purpose. 

-Senator Bettencourt

Sen. Brian Birdwell Sen. Dawn Buckingham Sen.Dr. Donna Campbell Sen.Brandon Creighton Senator Bob Hall Sen. Bryan Hughes Sen.Lois Kolkhorst Sen.Jane Nelson Senator Angela Paxton Sen. Charles Perry Sen. Dr. Charles Schwertner Sen.Drew Springer Sen. Larry Taylor

https://senate.texas.gov/press.php?id=7-20220119a. "
AntiDemocraticCandidates,"Being a feminist today means holding contempt for men, the nuclear family, motherhood, and femininity—going against everything the original women's movement stood for. In this special compilation episode, Candace Owens and her guests discuss why modern feminism is a departure from securing women’s rights to adopting leftist ideology."
RenewableEnergyGrowth,"Dubai recently launched its first industrial scale green hydrogen plant. Through a method called electrolysis, it will use an electric current to split water into oxygen & hydrogen. This technology is also being used in California. Learn more - https://www.cnbc.com/2021/05/20/dubai-launches-regions-first-industrial-scale-green-hydrogen-plant.html. "
