theme	tweets
AntiGunBan	No matter who we vote for, we can all agree that the integrity of our elections is critical to our democracy. What we don’t need are barriers disguised as solutions that would infringe on our fundamental freedom to vote and even give politicians the power to overturn our election results.
AntiGunBan	Sign the official petition against the Vaccine Mandate!  Americans should not have to choose between keeping their jobs and taking a vaccine they are not comfortable with.  We must stop the unconstitutional, left-wing power grab.   Sign the petition now!
EnvironmentalConservation	Governor Inslee is putting climate ambition into action with a bold cap-and-invest law. How will Governor Lujan Grisham move from pledge to policy?
EnvironmentalConservation	1/3 of Virginia’s households use natural gas to heat their homes, and your delegates are working to make sure you can keep it in your home. Support them here.
SchoolBoardFinances/GasInfrastructure	Senator Bennet just voted to raise taxes which will empower Russia. Call him and tell him NO.
SchoolBoardFinances/GasInfrastructure	"Mountain Valley Pipeline wants to exploit Southwest Virginia for profit, but we can stop them. 

Tell the Water Control Board to say NO to Mountain Valley Pipeline. They have a history of violations and have already paid millions in fines. We can’t risk our environment for their profit."
AntiGridDeregulation/PoliticalActionAds	"Richmond VA
Political Leadership School

Click here to register

https://www.facl-training.org/schools/events/richmond-va-pls-02oct2021

– How YOU can become effective in politics and make the politicians do what YOU want

STARTS ON Saturday, October 2nd, 2021 - 9:00 AM

Are you respected by politicians?

Unless you are politically feared, you will not be politically respected.

Learn WHY this works…. Learn HOW YOU can be feared AND respected by politicians in the fight for liberty.

This is practical, no-nonsense training built around cutting-edge political strategies and tactics..

If you are ready to DO something to take back power from the politicians and elites for “We The People,” you NEED to attend this class on Saturday, October 2nd, 2021 in Richmond, VA.

This intense one-day training covers:

The Real Nature of Politics - why just ""educating"" people alone won't result in change;
The Biggest Lie in Politics - and how the political class uses your convictions against you;
How to work effectively at the Capitol - getting a bill sponsor and a roll call vote despite the leadership; and
How to put pressure on legislators.
All of our instructors have years of experience putting these principles to work in multiple states.

Many have worked on federal, state and local campaigns, including major presidential campaigns, and successful campaigns for U.S. Senate and Congress. They know what works, and also what has been proven not to work in getting politicians to vote right.

This class will teach you how to turn your passion into effective action to advance liberty."
AntiGridDeregulation/PoliticalActionAds	"Join the fastest growing grassroots group in Virginia and learn how to FIGHT and WIN to Restore our Commonwealth!

Unless you are politically feared, you will not be politically respected.

Learn WHY this works…. Learn HOW YOU can be feared AND respected by politicians in the fight for liberty.

This is practical, no-nonsense training built around cutting-edge political strategies and tactics.

If you are tired of crony-capitalism, corporate handouts and politicians only looking out for their next re-election, this class might be for you.

If you are ready to DO something to take back power from the politicians and elites for “We The People,” you NEED to attend this class on Saturday, February 19th, 2022 in Orange, VA.

This intense one-day training covers:

The Real Nature of Politics - why just ""educating"" people alone won't result in change;
The Biggest Lie in Politics - and how the political class uses your convictions against you;
How to work effectively at the Capitol - getting a bill sponsor and a roll call vote despite the leadership; and
How to put pressure on legislators.
All of our instructors have years of experience putting these principles to work in multiple states.

Many have worked on federal, state and local campaigns, including major presidential campaigns, and successful campaigns for U.S. Senate and Congress. They know what works, and also what has been proven not to work in getting politicians to vote right.

This class will teach you how to turn your passion into effective action to advance liberty.

If you’re ready to learn how to be effective AND feared by politicians,  register for this class on Saturday, February 19th, 2022 in Orange, VA. We’ll even throw in lunch."
CleanEnergyGoals	MUST WATCH! The Tyrannical, Power-Hungry Left NEEDS To Be Stopped... 😳😳😳 #BigGovSucks. 
CleanEnergyGoals	It got hot in Texas last week. It tends to do that in June. But for many Texans, something was different during the first heatwave of the year. They woke up sweating because their thermostats had been turned up by their power companies. Former California Assemblyman and TPPF's Vice President, Chuck DeVore, weighs in on Tucker Carlson Tonight.
BellbrookSugarcreekConservativeElections	"NYGOP Chairman Nick Langworthy Takes “Just Say No” Tour to Elmira. He is joined by Local Officials in Opposition to November Ballot Proposals Threatening Election Integrity. #JustSayNoNY

New York State Senator Tom O'Mara
Tom O'Mara for Senate
Assemblyman Chris Friend
Chemung County Republican Committee. "
BellbrookSugarcreekConservativeElections	Manhattan District Attorney Alvin Bragg is REFUSING to enforce the law. He’s siding with criminals over everyday New Yorkers by downgrading felonies and refusing to prosecute many crimes altogether. Governor Hochul has the power to FIRE DA Bragg for refusing to do his job. Tell her to FIRE him NOW and protect New York families by going to FireAlvinBragg.com.
Unexplainable	The Seattle natural gas ban is bad for families and workers.
Unexplainable	What if the City’s natural gas ban had been in effect during the last cold snap? Stop the ban so we don’t have to find out.
