text	name
North Carolinians deserve climate action to prevent further harm from the worsening climate crisis. Participation in a regional program to cut carbon pollution is North Carolina’s chance to lead in the nation.	CleanEnergyGoals
"SUPPORT CANDIDATES WHO TAKE CLIMATE CHANGE SERIOUSLY

We support Council candidates who take climate change and its related challenges seriously. When it comes to action, Byron Matto --Byron Matto Portsmouth City Council -- doesn't just talk the talk. He's installed solar arrays on his roof that generate an amazing 120% of his households electricity consumption. He's trying to figure out what to do with the energy credits that are piling up. 

A vote for Byron on November 2 is a vote for forward-looking environmental and sustainability policies for Portsmouth.

Meanwhile, at last night's council meeting Councilors Cliff Lazenby and John Tabor for Portsmouth City Council successfully led the Council to create the Portsmouth Energy Advisory Committee. That's exactly the kind of initiative we want to see."	renewables
Advanced nuclear reactors will provide reliable power for Idaho and create new clean energy jobs. Show your support by liking our page today.	CleanEnergyGoals
"⚠️ Stop! We’re running out of time to tackle the climate crisis … and our poll expires in only HOURS!

𝐎𝐍𝐄-𝐐𝐔𝐄𝐒𝐓𝐈𝐎𝐍 𝐒𝐔𝐑𝐕𝐄𝐘: 𝐀𝐫𝐞 𝐲𝐨𝐮 𝐜𝐨𝐧𝐜𝐞𝐫𝐧𝐞𝐝 𝐚𝐛𝐨𝐮𝐭 𝐭𝐡𝐞 𝐜𝐥𝐢𝐦𝐚𝐭𝐞 𝐜𝐫𝐢𝐬𝐢𝐬? As we see more and more of the impacts of fossil fuels on our environment – worsening hurricanes, wildfires, flooding, and drought – it’s clear we need concrete solutions. But with only hours until our one-question survey closes, we still haven’t heard from you. The planet is on the line, and we all need to be part of saving it. So please, be one of the 27 voices we still need to hear from before midnight and tell us: 𝐀𝐫𝐞 𝐲𝐨𝐮 𝐜𝐨𝐧𝐜𝐞𝐫𝐧𝐞𝐝 𝐚𝐛𝐨𝐮𝐭 𝐭𝐡𝐞 𝐜𝐥𝐢𝐦𝐚𝐭𝐞 𝐜𝐫𝐢𝐬𝐢𝐬?"	climate action
Francisco supports renewable energy because it opens up job opportunities and helps combat climate change. Drop a comment below and let us know why renewable energy is important to you!	renewables
Existing CCUS technology can help us start producing net-negative oil now for clearer air tomorrow. Why wouldn’t we act now? Learn more:. 	renewables
"July Power & Politics Agenda... 

- Congressman Joe Neguse 
- Senator Janet Buckner
- Rep Leslie Herod
- District Attorney Brian Mason (JD 17)
- Aurora City Council Crystal Murillo
- Cannabis Industry & Legislative Updates: Sarah Woodson, Founder of The Color of Cannabis 

Learn more about The Color of Cannabis, an organization that provides a pathway for restorative economic and criminal justice to communities negatively impacted by the war on drugs! Executive Director and Founder, Sarah Woodson will join us to provide cannabis industry and legislative updates!

Click the link below to learn more The Color of Cannabis: 
https://www.thecolorofcannabisco.org/

Join us June, July and August for updates on political programs, policies, and initiatives impacting our community in Colorado & Nationwide!!

Elected officials, organizations, program admins, etc... at all levels are welcome to attend and provide updates. Please use the link below to register for providing an update. 

https://www.eventbrite.com/e/july-power-politics-elected-official-registration-tickets-160050714997

For any questions, please reach out to info@cbwpa.org."	indigenous activism
Get paid to talk to your neighbors about climate change. Apply for our climate canvassing team now!	climate action
"Atlanta Residents: Georgia Power isn’t switching from dirty fossil fuels​ to clean energy fast enough. It’s worsening the climate crisis, and costing us our planet. 

Expose the cost of its dirty power at https://sc.org/Dirty-Truth. "	CleanEnergyGoals
Thanks to Joe Biden natural gas prices have increased 15.6% in the past year.	inflation
"Right here, right now: Congress has a choice to make. 

👷Create millions of blue-collar jobs in clean energy
OR 
😟 Higher unemployment. "	renewables
Tackling methane emissions can dramatically slow the rate of warming. That’s why we support the direct federal regulation of methane across the gas value chain. Read more about our support for methane regulation, including our comments to the U.S. Environmental Protection Agency.	EnvironmentalConservation
"💵 $4.4B - $10B in air pollution costs
👷 57,000 lost work days
😷 13,000 more asthma attacks

According to a new report from Clean Air Task Force, that’s what losing the Byron and Dresden nuclear power plants could cost Illinois over the next decade."	renewables
"“While global environmental issues like climate change are incredibly complex, economic freedom is the best solution to reduce emissions and promote economic prosperity.” 

-- C3 Solutions VP of Public Policy Nick Loris. "	EnvironmentalConservation
"January Goals: 
✔️Stay Active
✔️Connect with Others
✔️Fight Climate Change

Register for Team Sierra’s 1.5 Degree Challenge to get a head start on those 2022 goals. From January 17 - February 18, commit to 15 minutes of activity per day and help Sierra Club act for climate solutions."	climate action
Why do Wall Street and Houston based oil companies funnel so much money in New Mexico politics? It's up to us to cut them off.	CleanEnergyGoals
"𝒀𝑶𝑼𝑹 𝑪𝑳𝑰𝑴𝑨𝑻𝑬 𝑺𝑼𝑷𝑷𝑶𝑹𝑻𝑬𝑹 𝑹𝑬𝑪𝑶𝑹𝑫
𝐌𝐚𝐭𝐜𝐡 𝐆𝐨𝐚𝐥: $25,000
𝐘𝐨𝐮𝐫 𝐃𝐨𝐧𝐚𝐭𝐢𝐨𝐧 𝐓𝐨𝐝𝐚𝐲: PENDING!

Right now, a generous donor is MATCHING every single donation we receive up to our $25,000 goal! That means if you care about protecting our planet and solving the climate crisis, there has NEVER been a better time for you to donate than right now. We’re still falling short of our match goal, so please click below and give now to help us continue our critical work protecting our planet’s future!"	climate action
Did you know oil and natural gas jobs provided more than $24.9 billion in wages across Louisiana in 2019? Learn how energy can help accelerate economic recovery.	inflation
"The latest UN report points to fossil fuels as a cause to the growing climate crisis. Accelerating the transition to clean and renewable energy is crucial for us and the next generations. Hydropower is the natural choice to balance intermittent renewable energy sources such as solar and wind. 

More than ever, it is time to act and say no to oil and gas. 

Read more here: https://www.theatlantic.com/science/archive/2021/08/latest-ipcc-report-catastrophe/619698/. "	renewables
Senator Portantino: Support hydrogen fuel infrastructure so we all have a choice for our zero-emissions future.	renewables
Protecting the American Bald Eagle = Protecting the Tongass National Forest.	climate action
"NYGOP Chairman Nick Langworthy Takes “Just Say No” Tour to Buffalo. He is Joined by Legislative Leaders Rob Ortt and Will Barclay in Opposition to November Ballot Proposals Threatening Election Integrity.

NYS Senate Republican Campaign Committee
Republican Assembly Campaign Committee - RACC. "	anti-woke
"""While global environmental issues like climate change are incredibly complex, ECONOMIC FREEDOM is the best solution to reduce emissions and promote economic prosperity.""

-- Energy Economist Nick Loris, The Heritage Foundation. "	EnvironmentalConservation
Pollution is a problem that can’t wait. When it comes to cutting pollution, Ohio’s rising electric auto industry is ready for business.	CleanEnergyGoals
Utility companies want to control how you get your energy. Investing in community solar means more energy options, more yearly savings, and less dependence on coal and natural gas. Read more here: https://www.wisolarcoalition.com/community-solar. 	renewables
It's actually pretty simple: climate change = more extreme weather. Find out why 99% of climate scientists agree.	EnvironmentalConservation
Want cleaner air? How about thousands of family-sustaining jobs? Healthier communities, too? Nuclear power can make it all happen.	renewables
Orlando needs a bold climate leader. Tell Mayor Dyer to declare a climate emergency now!	EnvironmentalConservation
Iowa wind energy jobs could double or triple over the next decade. 	CleanEnergyGoals
Now more than ever, Coloradans need champions in Congress that will protect jobs, care and climate. Carbon pricing is a watered down solution that is wasting time we don’t have. We need real solutions that protect our communities, not corporations. Together let’s ask Sen. Hickenlooper to advance real people and worker centered solutions to the climate crisis. Call Sen. Hickenlooper now 202-224-5941.	climate action
"BREAKING: The House just passed the Build Back Better Act!

Now the Senate must act on the most significant climate bill in history—to lower costs, cut taxes, create jobs, and deliver justice. Text HISTORY to 434-266-8464 to demand the Senate send this bill to President Joe Biden's desk."	EnvironmentalConservation
The Ohio State University recently announced the creation of the Energy Advancement and Innovation Center to better pursue the University’s sustainability goals. According to University President Krstina M. Johnson, “The Energy Advancement and Innovation Center will be an opportunity generator that provides the tools necessary for us to be effective global citizens of the 21st century and make the earth a better, healthier and more sustainable place to live.” The facility’s roof will be made of 700 solar panels that will remain tied to the university grid, giving it the ability to use solar power or the university energy grid. What an exciting opportunity and decision for the Buckeye State!	renewables
GE and Veolia North America are working together to improve technologies for recycling wind turbine blades and other components. There’s still progress to be made, but the industry is coming up with creative solutions to make sure wind energy is as eco-friendly as it can be. Read more:  https://www.livingcircular.veolia.com/en/industry/wind-power-hit-recycling-winds-change-thanks-veolia-and-ge. 	renewables
"“Solar power advocates say it’s more than just a sunny deal...it’s an equitable way of giving low-income residents, who can’t afford private solar arrays, and renters, who cannot install solar without a landlord’s permission, a chance to take part, they say.”

https://www.santafenewmexican.com/news/legislature/new-law-designed-to-increase-new-mexicans-access-to-solar-power/article_fe5a36dc-97aa-11eb-b9fb-c7b8784755e8.html. "	renewables
"TPUSA LIVE is the unfiltered, grassroots alternative to mainstream media. Watch daily shows, live in-studio content from TPUSA HQ and weekly shows covering politics, pop-culture, sports and everything in-between. Tune in every weekday starting at 5 PM ET / 2 PM PT.

Check out today’s show! 

Human Events Daily host Jack Posobiec discusses the supply chain disaster, Joe Rogan confronting CNN & more!

The TPUSA LIVE team is joined by host, Jon Root, and special guests Jonathan Koeppel, Morgan Zegers, and Isabel Brown who will talk about immigration, TPUSA's schoolboard watchlist, play 'Law or Nah' & more!

Real America host Graham Allen covers leftists deciding to have a ""sex strike"" and watch Benny on the Block with Benny Johnson as he talks about human trafficking at the border. 

We will wrap up the show with POPlitics with Alex Clark as she dives into country music being dead, news at Bravo, a pop culture rewind, and more!"	TPUSAAd
Rep. Cartwright, thanks for fighting for clean energy that can power our economy, create good-paying jobs, and tackle the climate crisis. Now is our time to get it done.	BuildBackBetterAct
"ENERGY FACT: Wind turbines shut down in storms, right when we need them the most. That's why we need reliable baseload energy from nuclear and natural gas.
SOURCE: https://www.energy.gov/eere/articles/wind-turbines-extreme-weather-solutions-hurricane-resiliency. "	CleanEnergyGoals
⏰  It's time to invest in ourselves, build an equitable clean energy future, and create millions of good-paying jobs across the country.	pro oil and natural gas
Rep. DeFazio, thanks for fighting for clean energy that can power our economy and create good jobs, right here. Now is our time to get it done.	pro oil and natural gas
It's actually pretty simple: climate change = more extreme weather. Find out why 99% of climate scientists agree.	climate action
Climate change threatens nearly 400 species with extinction. But with kind, compassionate people like you, we can push to help some of our most imperiled species recover and thrive. That’s why we need your renewed commitment in 2021. Keep playing a valuable role in this powerful work to protect birds and the places they need!	EnvironmentalConservation
"Pennsylvania state lawmakers have been putting money and power into the hands of the fossil fuel industry for years. Now they’re pushing a bill to block the state from taking #ClimateAction and investing in clean energy.   

Tell your state senator to vote NO on #SB119."	CleanEnergyGoals
Will Witt asked people at the University of North Texas if they know what caused the Texas Freeze earlier this year and if they support wind and solar energy over fossil fuels.	renewables
"Join the fastest growing grassroots group in Virginia and learn how to FIGHT and WIN to Restore our Commonwealth!

Unless you are politically feared, you will not be politically respected.

Learn WHY this works…. Learn HOW YOU can be feared AND respected by politicians in the fight for liberty.

This is practical, no-nonsense training built around cutting-edge political strategies and tactics.

If you are tired of crony-capitalism, corporate handouts and politicians only looking out for their next re-election, this class might be for you.

If you are ready to DO something to take back power from the politicians and elites for “We The People,” you NEED to attend this class on Saturday, February 19th, 2022 in Orange, VA.

This intense one-day training covers:

The Real Nature of Politics - why just ""educating"" people alone won't result in change;
The Biggest Lie in Politics - and how the political class uses your convictions against you;
How to work effectively at the Capitol - getting a bill sponsor and a roll call vote despite the leadership; and
How to put pressure on legislators.
All of our instructors have years of experience putting these principles to work in multiple states.

Many have worked on federal, state and local campaigns, including major presidential campaigns, and successful campaigns for U.S. Senate and Congress. They know what works, and also what has been proven not to work in getting politicians to vote right.

This class will teach you how to turn your passion into effective action to advance liberty.

If you’re ready to learn how to be effective AND feared by politicians,  register for this class on Saturday, February 19th, 2022 in Orange, VA. We’ll even throw in lunch."	gun rights
Katlyn Mullins is a Mining Engineering student set to graduate from the University of Kentucky in May 2022. She would like to pursue a career within the mining industry, specializing in production. Katlyn is a recipient of the Friends of Coal Scholarship, which has allowed her to pay for classes and housing. When you purchase a Friends of Coal license plate, you are supporting students like Katlyn.	renewables
We're incredibly grateful for customers like Mr. Fait and his commitment to solar. See his testimonial in our newest video below. ☀. 	renewables
"Recently, The Wall Street Journal ran a column highlighting consumer frustration at high utility bills following the historic winter storm that swept through the plains earlier this year.

Petroleum Alliance President Brook Simmons set the record straight: ""The culprits behind this winter’s utility-bill price spike are supply and demand, a generational weather event and policy overreach in the name of climate virtue at consumers’ behest.""

Read more. 👇. "	inflation
The gripping tale and tragic consequences of when money wields enough power and influence. #PeopleOverProfit. 	renewables
"All across America, there are abandoned oil and gas wells that are endangering communities by leaking pollutants. It’s time for Congress to clean them up. 

They must pass the #BuildBackBetter agenda and fully fund a program to cap the wells and clean up the sites. Not to mention, it’ll create thousands of jobs in the process. Sign the petition at the link in our bio to tell Congress to act now. 

📷 by @juliedermansky. "	CleanEnergyGoals
Natural gas prices are rising thanks to Joe Biden. That means higher home heating bills this winter that many can’t afford.	SchoolBoardFinances/GasInfrastructure
Sen. Kaine wants to strengthen America's economy with millions of good-paying clean energy jobs - to recover now and build for the future.	pro oil and natural gas
Did you know? Illinois oil production is primarily a small business venture. Of the approximately 4,000 persons employed in the Illinois oil production industry, roughly half are in one-person operations either as independent contractors, or independent owner/operators. Most of the remaining 50% of employees work for firms with four employees or less. There isn't a single publicly-traded company producing oil in Illinois. In fact, of the approximately 1,500 Illinois oil operators, all but four produce 1,000 barrels per day or less. A vast majority of Illinois oil producers also live in the same communities where they operate.  Find out more at iprb.org: https://iprb.org/industry-facts/illinois-economic-study/. 	inflation
Now more than ever, Pennsylvanians rely on the affordability of natural gas. Contact your senators and make sure they know to vote no on higher energy costs.	inflation
Government-Controlled Power comes with a price tag of $13,500,000,000  – three times Maine’s annual budget.  Do you think this is a good idea? Tell us right now: https://bit.ly/31N2eg2. 	renewables
Raising taxes on the U.S. natural gas and oil industry could put our economic recovery at risk! Call Rep. Andy Kim at 732-504-0490 and tell them: new taxes on U.S. energy is a BAD idea!	LiberalTaxHikes
Renewable energy is fueling Oklahoma! Like our page to learn more.	CleanEnergyGoals
"Coloradans are concerned about the extreme heat and the wildfires, and wants their leaders to take bold action on climate change, fire prevention, improving air quality and tackling the drought.

We have no time to waste. We must act now to tackle our climate emergency head on."	climate action
Join Portsmouth Citizens for Energy Choice to discuss the November 2nd ballot initiative to approve community choice aggregation.  A yes vote for clean energy choice on November 2nd, empowers citizens, small business owners, and local officials to make decisions about what powers Portsmouth! It puts that decision-making power back in the hands of people who know the type of community they want to build!	renewables
"There's no way around it — the $3.5 trillion reconciliation package has always been envisioned as a way to increase taxes and fees on the U.S. oil and natural gas industry. Democratic leaders would prefer to funnel those dollars to intermittent energy sources to align us with Europe.

But now, Europe is facing the headwinds of its alternative energy ambitions. Double-digit increases in electricity bills, threats of blackouts, pleas for Russia to deliver more natural gas... If the United States abandons its most tried-and-true energy source, we will soon find ourselves facing the same energy crisis sweeping through Europe today.

Read more from Petroleum Alliance President Brook Simmons: https://bit.ly/3uLkaBT. "	CleanEnergyGoals
"“Put simply, workers have not been fully benefiting from the profits they create. This is not an accident.” 

For too long, companies have had to disclose little to no information about their workforces. It’s past time for the public to have data on employee demographics, job quality, professional development, and worker power."	CleanEnergyGoals
Climate change poses the biggest threat to human health, and the costs associated with it are projected to be astronomical.	EnvironmentalConservation
When tragedy struck in Louisiana earlier this month, one apartment complex was able to keep the power on thanks to the solar panels installed on the building’s roof, representing a “beacon of hope” for New Orleans. The building’s microgrid models how the use of rooftop solar can become more widespread for both post-disaster power and clean, reliable power in normal conditions:. 	CleanEnergyGoals
"Standing for Change
""It is time to stop the hate, stop the games, and get to work for the American people"". "	climate action
According to the State Land Board, Colorado's oil and natural gas industry has generated $1.2 billion for Colorado schools and students. Learn more about how Colorado’s energy industry supports tomorrow's engineers and scientists.	CleanEnergyGoals
Massive drilling on public lands and waters is incompatible with a healthy future for our planet.	ClimateChange
NYGOP Chairman Nick Langworthy Takes “Just Say No” Tour to Geneseo. He is joined by Local Officials in Opposition to November Ballot Proposals Threatening Election Integrity.	BellbrookSugarcreekConservativeElections
Why are gas prices so high? Because we are blowing too much out the wrong side.	inflation
"🌡️  Record high temperatures. 🌳  Burning forests. 🌊 Rising sea levels. Now is the time to take bold action on climate change.

Show your support for creating clean energy jobs and tackling climate justice with a FREE yard sign."	EnvironmentalConservation
Calling all conservatives: Rep. Stephanie Bice is fighting back against the Left’s anti-energy agenda in Washington. She is a champion for our nation’s oil and gas industry and the thousands of hardworking Americans relying on it. Will you rush in $20 right now to help her reach her Q1 goal to ensure she has the resources needed to stand up to the Left in D.C. and preserve our shared conservative values?	CleanEnergyGoals
"With Europe energy prices spiking as a result of a sudden slowdown in wind, consultants like Mark Dickinson advise that ""The price surge shows the need to have backup power supplies for moments when the wind doesn't blow and the sun doesn't shine."" Hydro-power is a perfect complement to wind and solar acting as a battery backup. Say NO to blocking future renewable projects and vote NO on question 1."	CleanEnergyGoals
Don’t let your energy (and cooking choices) be limited. Sign the pledge if you support natural gas!	CleanEnergyGoals
"The climate crisis is real, it’s getting more severe, and it’s changing the way we live! 

We need your support more than ever to help combat the dire consequences that severe weather is having on people, communities, and the environment. Make an urgent gift today."	EnvironmentalConservation
With an all-of-the-above energy strategy, a Colorado Habitat for Humanity team will build its first zero-net energy demonstration home. See how it will protect clean energy options without sacrificing energy equity.	CleanEnergyGoals
Protect Antarctica and secure the largest act of ocean protection in history! #CallOnCCAMLR. 	EnvironmentalConservation
Even as fossil fuel tax revenues plummet, Wyoming remains a rich state with no urgent reason to cut public services from struggling and vulnerable people. It also just received more than a billion dollars in federal aid. Why then, are Wyoming lawmakers eager to cut public funding? Because they want to.	SchoolBoardFinances/GasInfrastructure
"Western Spirit, one the the largest single-phase renewable energy build-outs in U.S. history, is nearing completion. Thanks to the hard work and dedication of New Mexicans, this major improvement to America’s electric grid will be complete later this year.

As the country’s renewable energy needs grow, we’re betting on New Mexico to rise to the challenge. The future looks bright!"	CleanEnergyGoals
"News alert from Reuters: “UN warns of climate ‘abyss’ as 2020 confirmed as one of 3 hottest years on record”

Families already facing conflict, poverty, and other crises are the most vulnerable to the effects of climate change. Mercy Corps is helping communities around the world build resilience to withstand changing weather patterns and take on these challenges. Are you with us? Add your name to show your support for communities most deeply affected by the climate crisis."	climate action
Nearly half of 16- to 25-year-olds reported that “their feelings about climate change negatively affected their daily life and functioning.” But the real problem here isn't climate change — it's a sharp disconnect between perception and reality.	climate action
"Did you see the recent coverage of my campaign in the New Braunfels Herald-Zeitung?

Since I launched this campaign to answer the call to servant leadership and stop the Biden Administration's unconstitutional assault on the Great State of #Texas, one thing has since become abundantly clear—it's far past time for fresh and common-sense Conservative representation for Senate District 25.

I've been meeting with grassroots and local party leaders across SD25, and time and again, I have heard that my incumbent opponent cannot be counted on to show up for her constituents, let alone act as a true #Conservative and a principled #Republican—and it's been that way for nearly a decade.

In her apparent quest for political power and prestige, my incumbent opponent appears to have become just another entitled politician.  That's why she was ranked the 4th most liberal Republican Senator in the 2021 Legislative Session.  And due to out-of-touch and questionable Republicans retiring, my incumbent opponent will be the 2nd most LIBERAL Republican Senator if re-elected!

That's unacceptable!
As I stated: SD25 is the very heart of Texas, and deserves a politically courageous state senator who can be counted on to solve hard problems instead of continuing to kick the can down the road.  Because of my rural Texas upbringing working on our family farm, I have a profound appreciation for traditional Texas values—and I know how to roll up my sleeves and get to work! 

Please LIKE and SHARE this post to help me spread my Texas and Texans First message!  And if you haven't already, please sign up to get involved and make a financial investment in my campaign at CainForTexas.com!  Thank you.

#TexasAndTexansFirst #KeepTexasRed #LeadRight #txlege #GOP #NewBraunfels #ComalCounty #GuadalupeCounty #Election2022 #SD25. "	EnvironmentalConservation
Raleigh needs a bold climate leader. Tell Mayor Baldwin to declare a climate emergency now!	climate action
"Hmmmm 🤔 anyone else seeing a trend here?

Having a union is the only way to guarantee worker protection and fair wages!"	climate action
"🛑 End offshore oil drilling
🌱 Restore and protect national monuments
🌎 Invest in our future by taking bold climate action

Help us safeguard the air we breathe, the water we drink, and the places we treasure. Donate now >>. "	EnvironmentalConservation
"Thank Representative Slotkin for championing the Build Back Better agenda. 

When it comes to responding to the climate crisis, we can all be part of the solution. From protecting care workers to investing in climate change defenses, we are calling on our leaders in one voice to pass the Build Back Better agenda."	EnvironmentalConservation
What are you doing to protect federal lands from orphaned oil & gas wells?	climate action
Did you know that natural gas is a product that can be verified to show environmental responsibility? Learn more here wmb.link/zzn. 	renewables
Planet Earth desperately needs our help — it's time we show appreciation, action, and love for our home. This isn't new. You've seen all the headlines that serve as constant reminders of the urgency of action. Climate change is widespread, rapid, and intensifying — unequivocally caused by humans and affecting every species on our beautiful planet. We can still limit irreversible damage, but only with immediate large-scale action. Our team continues to work tirelessly to advance bold climate action and reform — but we need your help. 100% of your support would give us a huge and much-needed boost to continue to pressure our legislative leaders to go bigger and bolder — to pass ambitious plans rooted in climate action and justice — by starting your monthly membership today. All the latest climate disasters have shown us about how much this crisis is worsening but it also tells us that we can still avert the worst of the crisis — however we must take action now. Will you join the fight to protect nature, wildlife, and our planet?	climate action
With wind + solar + nuclear energy, we can keep the air clean and Illinois carbon-free. Like our page to learn more.	CleanEnergyGoals
"""Our side can win by putting conservation back into conservatism, calling out ineffective Democratic climate plans, and championing real climate solutions that will benefit all Americans. That’s the conservative approach to climate change."" 

-- Christopher Barnard,  National Policy Director at the American Conservation Coalition - ACC. "	EnvironmentalConservation
The latest impact of climate change, poison ivy is more abundant than ever. 	EnvironmentalConservation
Raising taxes on the U.S. natural gas and oil industry could put our economic recovery at risk! Call Rep. Nicole Malliotakis at 718-568-2870 and tell them: new taxes on U.S. energy is a BAD idea!	inflation
Cutting down trees and burning them to produce electricity creates more climate-busting carbon pollution than coal, gas, or oil. Now Congress wants to label this a climate solution. It’s not. It’s an industry bailout. Please tell Senator Smith to work with the Biden administration to ensure our forests aren’t used as fuel for electricity.	CleanEnergyGoals
If renewable energy can render America’s leading power producer powerless, it can do the same to your state.	renewables
"On July 18, one of our drivers reported #oiltheft at Reddi Rooster in Stamford, CT, where this Buffalo Biodiesel vat had been broken into and robbed, one of two oil thefts reported in Stamford that same day. Buffalo Biodiesel recycles the used cooking oil to make environmentally sustainable biofuel—instead, it’s being targeted by interstate organized crime. Please report any relevant information to Stamford Police Department CT and help us stop these criminals. 
News 12 Connecticut  NBC Connecticut  WFSB - Channel 3 Eyewitness News  Stamford Advocate  Stamford Patch  Daily Voice Gold Coast  The News-Times. "	OilTheft/ClimateLeader
The future lies in green energy. General Electric has the power — and responsibility — to build a brighter future in America. #GreenUnionJobs. 	CleanEnergyGoals
Let's see how many myths about the Clean Energy Corridor we can bust in 60 seconds.	CleanEnergyGoals
She was appointed to the Natural Resources and Water Committee and consistently voted against legislation for stronger oil and gas regulations this past year. Meanwhile, her husband earns up to $100,000 a year from an oil and gas company and she herself brings in up to a six-figure income as president and CEO of a staffing agency that provides services to at least 13 companies involved in the local oil and gas sector.	inflation
Energy efficiency is the quickest and cheapest way to meet our energy needs while also helping Floridians save money on their power bills … But Florida’s outdated practices take true efficiency off the table. Urge state regulators to update Florida’s policies!	renewables
Consumers Energy says getting more electricity from renewable sources and closing coal plants will save customers money, and it has a plan to do so.	renewables
"CALL Sharice Davids: 913-766-3993 and tell them to oppose Pelosi’s socialist spending spree.

❌ Largest tax increase in more than 50 years

❌ Higher taxes on millions of small businesses

❌ Decreased wages and household income

❌ Rising costs for household goods like gas & groceries. "	SchoolBoardFinances/GasInfrastructure
"How Black Mississippians Found Their Power During Jackson’s Water Emergency

After the water stopped flowing, a grassroots effort in Jackson is organizing the Black community for future climate and political crises.

To read the full story click the link in our bio.

@nationalcleanwatercollective. "	EnvironmentalConservation
"""The Sky is falling! Mayday...Mayday is FAKE!""
🛑 With many staff being paid $80,000.00, to almost $100,000.00 dollars, plus extravagant benefits that are no longer in the private sector, it has created a budget crisis. The crisis is brought about by the school administration that refuses to live within the budget given to them by the taxpayers. 

🛑 They only want more, more, more, having become entitled. Ohio property owners are overtaxed. Sugarcreek and Bellbrook property owners are feeling the squeeze.

🛑 To restore financial responsibility to schools VOTE NO. They are already saying once this tax is passed they will want more increases every few years, as soon as 2024!
 
It is an abuse of power and it needs to be stopped.  ⛔ 

S.O.S.....Save our Seniors....VOTE NO on May 4th!"	SchoolBoardFinances/GasInfrastructure
"Huge news: The House just voted to pass the Build Back Better Act!

Thank you, Rep. Castor, for putting Florida's working families first by voting to create clean energy jobs right here and take on climate change right now."	pro oil and natural gas
