theme	tweets
AntiGunBan	"Supporters and Donors,

It is time to finish the hand.  Over the last 18 months we have been working non-stop to prepare for this very moment.  

The 2021 State General Election is literally weeks away, and now is where the rubber meets the road.  Over the past four years, thanks to your dominations, we have been able to stop gun bans, defeat anti-gun radicals in both the primary and general elections, but the real challenge is coming the first week of November.

And that is why I am writing you today.

Thanks to your generous donations and support, we have been extremely successful.  Not only have we won legislative fights, but we have trained over 1,000 fellow patriots in targeted districts for the 2021 State Election.  

But now the right battle begins.  If we hope to rip the Richmond Radicals from Power, we need more ammunition.  Your donations have brought us this far, but without additional resources we may indeed lose. I am personally asking for your increased support right now.

Millions of out of state, gun grabbing dollars are flowing into races around Virginia, planning to finish their efforts to finally destroy liberty, freedom and the right to keep and bear arms.  

But we are ready to fight them.  We have the trained and motivated volunteers.   We have the districts narrowed down to those we can fight and win.  We just need the ammunition to fight.  

So I am asking each of your to click here and donate whatever you can to our final push to Restore Virginia Now.

https://donorbox.org/restore-virginia-now

With your donations, we can swing into action in districts where we have candidates who have pledged to-

 Roll back every single anti-gun piece of legislation passed by the Richmond Radicals these past two years

Stop executive and bureaucratic power grabs that  have completely violated the State Constitution and stop forced lockdowns, masking and forced vaccination

Pass School Choice and break the government monopoly on education

Pass Constitutional Carry

Reduce regulations and make Virginia free again.

But we can only fight with your help.

I thank you for all you have already done.  Our success has only been because of your support.  But the biggest fight comes in November.

With your donations we can roll out tens of thousands of direct mail pieces, hundreds of thousands of telephone calls, texts and emails, and work social media to be sure that champions for Virginia take out the gun grabbing, power hungry socialists and restore Virginia.  

So please click here to donate,  the future of Virginia depends on it!

https://donorbox.org/restore-virginia-now

I have often said that if we are waiting on a politician to save us, we have already lost.  Over the next two and a half months, I and my team will be working with everything we have to win in November.  

Can we count on you to help us?
 

In Liberty,

S. Chris Anders
Director
Virginia Constitutional Conservatives

PS- The radical left is funded by millions of out-of-state dollars. We however, rely on donors such as yourself to fund our efforts to not only keep a close eye on the Criminal Minds, but also to smack down and defeat any and all of their hairbrained schemes. 

Will you help us? 

Know that no matter how much you donate, every dime will be used to stop the Richmond Radicals and Restore Virginia.  Please click here to arm our volunteers with the donations they need to fight and win.

https://donorbox.org/restore-virginia-now. "
AntiGunBan	"Recent power crises in TX and CA include higher prices & rolling blackouts. This proves that Virginians shouldn’t adopt their failed energy policies.
 
Thank you, Steve Newman, for keeping the power crisis out of our Commonwealth by promoting reliable energy policy."
AntiWoke	"“Kim McCarthy is an endorsement that doesn't deliver” She is toxic and a hate filled divider, only interested in acquiring political power.

Every single candidate that Kim McCarthy endorsed for local office (in Bellbrook and Sugarcreek) lost. 

McCarthy lives in Sugarcreek township. This is the 3rd time on the Sugarcreek ballot for office. 

Twice as State Representative, once as a township trustee. All three times overwhelming rejected by the voters.

Her anti-everyone,and everything America  approach, has run out of steam. 

Her support is waning and weakened by repeated failures. Too far left she doesn't included people she disagrees with, which is why she can't win. 

Known for having thin skin.
It is hard to figure out her dislike for American values.

Every. SINGLE. ONE. Of her endorsements lost. That says it all.¹

(¹Photo is of a Sugarcreek township resident- who is alo Kim McCarthy supporter - holding a  Meridith Brinegar sign in Bellbrook. Brinegar lost also. Township residents can not vote for Bellbrook candidates). "
AntiWoke	"School board President David Carpenter posted this in 2015. Time has proven Carpenter's comments about “integrity” to be a lie of convenience, based upon his need for power.

The Criminal inditement of David Carpenter by the State of Ohio proves everything I have said has been correct.

In my opinion, David Carpenter was in hip-deep and involved in Doug Cozad’s criminal behavior and knew about, encouraged, and cheered on the illegal Levy activities.

Carpenter was one of the 4-sitting board members who were part of the “secret group of 78, who attacked me, my family, and my business. 

David Carpenter is a “woke progressive” who has secretly attacked anyone who dared disagree with the school board or the administration. In my opinion, he is a danger to every Patriot in our community.

Carpenter has proven through his behavior he is willing to use the policing powers of our community as a tool to go after individuals he deems an “enemy” of his school administration.

Do not let the “bow-tie” fool you.

David Carpenter is a woke radical predator intent on holding on to power through any means possible.

It is time for the Patriots of Bellbrook-Sugarcreek to get rid of this criminally charged school board President.

Integrity is one quality David Carpenter does not possess. 

Pretty, yes. Vindictive, yes. Small-minded, yes. Angry little man, yes. Bully, yes. Power-hungry, yes. Self-serving, yes. All descriptions, in my opinion, describe David Carpenter.

But having integrity, that’s a BIG NO.

David Carpenters' reign of abuse of power is over."
ProtectEnvironment	Our coastlines are under constant threat of gas and oil drilling. At the League of Conservation Voters, we’re fighting EVERY DAY to keep our coastlines clean and protect families and marine life from disastrous oil spills. Donate today to help stop offshore drilling!
ProtectEnvironment	"No one fights and wins more cases for the environment than Earthjustice. Want to see? Check out our recent victories.

Supporters like you are critical members of the team as we fight to keep children safe from lead and dangerous pesticides, make sure our air and water is clean, and protect endangered species."
CleanEnergyWorks	Nuclear carbon-free energy is gaining new supporters every year – and it’s because it works, both as an always-on energy source and a viable climate solution. Renowned climate scientist Dr. Kerry Emanuel shares the invaluable role nuclear energy can play in humanity’s future.
CleanEnergyWorks	"The first leg of the Western Spirit transmission line has been energized! Besides delivering clean power to our energy grid, the transmission line is energizing local economies and jobs in rural New Mexico.

“Thanks to New Mexico’s mighty winds – some of the strongest wind resources in the entire country – these nearly $2 billion projects created thousands of jobs, generated economic activity in rural areas, and will now generate pollution-free clean power for thousands of homes,” said Pattern Energy CEO Mike Garland. “We are proud to have designed this project with input and support from the local communities, environmental organizations and state government, making this a successful collaborative investment in New Mexico infrastructure.”

A huge thank you to our development partner, the New Mexico Renewable Energy Transmission Authority (RETA), for helping make this major infrastructure project a reality. We look forward to many more milestones in New Mexico!"
ActionAgainstDemSpending	Besides the obvious issues of higher costs of heating our homes and filling our gas tanks, US oil and natural gas production impacts so much more throughout our daily lives. Consider the global cost and availability of food due to limited supplies of fertilizer. The United States of America has rich supplies of natural gas right under our feet that can help produce these fertilizers. https://www.reuters.com/business/energy/nitrogen-fertilizer-shortage-threatens-cut-global-crop-yields-cf-industries-2021-11-04/. 
ActionAgainstDemSpending	Drastic energy proposals being pushed in Sacramento would result in thousands of blue-collar workers losing their jobs, more foreign oil imports, and higher gas prices throughout CA.
