theme,tweets
DonationMatchingForClimate,We can tackle climate change and meet essential energy needs by working together.
DonationMatchingForClimate,"Our economy is struggling. Our climate is at risk. But investing in natural climate solutions for farmers, ranchers, and foresters could turn things around. Act now to call on leaders to support programs that protect birds, restore habitat, and address the threat of climate change."
AbandonedWells,"Our champions in Congress aren’t afraid to Go Bold. They recognize the challenges we face, address them head on, and work tirelessly to combat climate change, create American jobs, and support a truly electric infrastructure.
 
Thank you, Senator Cortez Masto, for your ongoing support and your work to bolster electric heavy and medium duty vehicles. Now, it's time to finish the job!"
AbandonedWells,"Your legislator, Representative Alec Garnett, was a champion for Colorado’s rivers this legislative session! That means a stronger economy, better resiliency in the face of climate change, and restoring our rivers. Show your support for our rivers by signing our card today!"
GreenEnergyIsCostEffective,"🏡 Home sizes may be increasing but residential emissions are dropping. Residential natural gas customers use half as much #energy today as they did in 1970, thanks to #natgas utilities’ commitment to investing in efficient energy. Learn more."
GreenEnergyIsCostEffective,"FACT: The Clean Energy Corridor is good for Maine’s environment - Removing more than 3 million metric tons of GHG emissions from the region every year. That’s the equivalent of removing 700,000 cars worth of carbon emissions out of our air."
ClimateEmergency,"Together, moms across the country are banding together and tackling the issue that most threatens their children’s future: climate change. Join them today."
ClimateEmergency,Talking about climate change is HARD. This toolkit can help you have the much-needed conversations with your kids and teens.
NuclearRevenueSupportsJobs,Increased use of natural gas is the No. 1 reason U.S. power sector CO2 emissions decreased 8% in 2019 and have fallen 33% since peaking in 2007.
NuclearRevenueSupportsJobs,"Always proactively innovating, Texas oil and gas producers are committed to working collaboratively to develop our state’s natural resources while improving environmental performance."
HazardsOfWells,"Urge the LA City Council to reject any actions that would increase energy prices, increase our reliability on imported foreign oil and eliminate local living wage jobs."
HazardsOfWells,"ALERT: Texas power demand is hitting highs for the year. Just another reason we need more energy sources, not fewer. That will help keep your bills affordable! Sign the petition if you agree."
VirginiaConservatives,"“Every year, I am struck by changes we’ve made or enabled,” writes Peter Rosegg, our senior corporate relations specialist.

""Only a few years ago, most generation resources were owned by our company, with a few large independent power producers, mostly fossil fuel plants on Oahu. There were very few renewable energy generators, mostly on Maui and the Big Island.""

Read more about this year’s power facts and learn why we are proud of the changes we’ve been making in our latest Medium blog at: http://hwnelec.co/Dn5a50EOHdO."
VirginiaConservatives,"With so little days left in the session, we need to keep the momentum rolling! SB 83 Local Choice Energy Act, is scheduled in Senate Tax, Business, and Transportation Committee TOMORROW, Tuesday 3/9 starting around 1:30pm. Local Choice Energy opens up New Mexico's electricity markets to competition and puts local communities in control of who supplies their energy. It would allow any local community to pool their electricity demand and create a local utility, who works with the investor owned utility in the service area to transmit and distribute that electricity. NM has two investor-owned (IOU) monopolies and a majority of residents in NM are forced to use PNM and El Paso electric even though we'd rather not pay for their gas, coal, or nuclear energy portfolios. The bill would make it legal for communities and Tribal Nations to create utilities and decide where our energy comes from, produce our own energy, and keep energy dollars circulating in our local and state economies instead of shipping energy profits off to Wall Street.

Check out this great op-ed by Noah - our fearless YUCCA Intern about why energy democracy is so important as we face things like the climate change induced blackouts in TX:
https://www.abqjournal.com/2366568/texas-blackouts-prove-the-need-for-local-choice-energy.html

We need your help to pass this bill by calling and emailing committee members on Senate Tax, Business, and Transportation and tell them to vote YES on SB 83. Below is the contact information for everyone in that committee and we need to ramp up our people power to make sure that we get some of the most important things passed this session and that bills like SB 83 don’t get stuck unscheduled or tabled in committees!

Benny Shendo, Jr. (Chair)
(505) 397-8849
benny.shendo@nmlegis.gov

Michael Padilla (Vice Chair)
(505) 397-8840
michael.padilla@nmlegis.gov

Gay G. Kernan
(505) 986-4274
gay.kernan@nmlegis.gov

Craig W. Brandt
(505) 986-4385
craig.brandt@nmlegis.gov

Ron Griggs
(505) 986-4391
ron.griggs@nmlegis.gov

Carrie Hamblen
(505) 397-8827
carrie.hamblen@nmlegis.gov

Martin Hickey
(505) 397-8828
martin.hickey@nmlegis.gov

Leo Jaramillo
(505) 397-8831
leo.jaramillo@nmlegis.gov

Joshua A. Sanchez
(505) 986-4375
jas4nm@gmail.com

Bill Tallman
(505) 397-8854
bill.tallman@nmlegis.gov

Peter Wirth
(505) 397-8855
peter.wirth@nmlegis.gov. "
DemandClimateActionFromLeaders,Cleveland needs a bold climate leader. Tell Mayor Bibb to declare a climate emergency now!
DemandClimateActionFromLeaders,"Mayor Dyer, it’s time to declare a climate emergency. We need bold climate leaders to protect Orlando."
PublicLandExploitation,"NEW REPORT: Crude oil pipelines are a key enabler of the climate crisis and must be addressed as a collective threat. President Biden rightly canceled the Keystone XL pipeline on his first day in office. ❌🛢️❌ But three other equally destructive pipelines still have a green light from the government even though they sidestepped environmental protection laws and put our waterways at risk. Read more about why these pipelines, with all of their similarities, must all be stopped by the Biden administration. ➡️ https://bit.ly/2OlPer0 350.org. "
PublicLandExploitation,“Coloradans have been at the forefront of curbing methane waste and pollution from oil and gas operations and their impact on public health and climate change. So it should come as no surprise the Senator Michael Bennet and Senator John Hickenlooper and Congresswoman Diana DeGette are playing lead roles in advancing federal methane policy.” #CutMethane #copol https://bit.ly/3hxQt2M. 
GreenEnergyCreatesJobs,"Jennifer is a clean energy worker at the largest solar panel factory in the Western Hemisphere—located in her hometown of Dalton, Georgia. She knows first-hand how investments in clean energy jobs can transform a small town. That's why she wants Congress to invest in millions more. Small communities across the country need the American Jobs Plan."
OilAndGasSupportJobs,"⚠️ Stop! We’re running out of time to tackle the climate crisis … and our poll expires in only HOURS!

𝐎𝐍𝐄-𝐐𝐔𝐄𝐒𝐓𝐈𝐎𝐍 𝐒𝐔𝐑𝐕𝐄𝐘: 𝐀𝐫𝐞 𝐲𝐨𝐮 𝐜𝐨𝐧𝐜𝐞𝐫𝐧𝐞𝐝 𝐚𝐛𝐨𝐮𝐭 𝐭𝐡𝐞 𝐜𝐥𝐢𝐦𝐚𝐭𝐞 𝐜𝐫𝐢𝐬𝐢𝐬? As we see more and more of the impacts of fossil fuels on our environment – worsening hurricanes, wildfires, flooding, and drought – it’s clear we need concrete solutions. But with only hours until our one-question survey closes, we still haven’t heard from you. The planet is on the line, and we all need to be part of saving it. So please, be one of the 27 voices we still need to hear from before midnight and tell us: 𝐀𝐫𝐞 𝐲𝐨𝐮 𝐜𝐨𝐧𝐜𝐞𝐫𝐧𝐞𝐝 𝐚𝐛𝐨𝐮𝐭 𝐭𝐡𝐞 𝐜𝐥𝐢𝐦𝐚𝐭𝐞 𝐜𝐫𝐢𝐬𝐢𝐬?"
AntiFossilFuelInfrastructure,"“To ensure we have a stable and affordable supply of energy here in the United States, the Biden Administration should support the domestic production of oil and natural gas, ensure the continued production on federal land, work with the industry on sensible and smart methane regulations, and stop calling for higher taxes on the American oil and gas industry."" - Anne Bradbury, CEO, American Exploration & Production Council. "
CleanOilAndGas,"Under a natural gas and oil leasing and development ban, U.S. GDP would decline by a cumulative $700 billion through 2030 and nearly 1 million industry jobs would be lost by 2022. #EnergyConversations. "
GreenEnergyCapacity,Still skeptical about nuclear energy’s role in America’s clean energy future? We’d love to share the facts with you about our nation’s largest source of carbon-free energy. Sign up to learn more. https://bit.ly/NuclearWA. 
CutMethane,"The warming climate is leading to wetter weather and stronger storms, leading to mounting costs for North Carolina families and businesses. North Carolina communities can’t afford to delay climate action. https://bit.ly/3l3bXok. "
CommerceCityDemocrats,"TPUSA LIVE is the unfiltered, grassroots alternative to mainstream media. Watch daily shows, live in-studio content from TPUSA HQ and weekly shows covering politics, pop-culture, sports and everything in-between. Tune in every weekday starting at 5 PM ET / 2 PM PT.

Check out today’s show! 

Human Events Daily host Jack Posobiec discusses the Jussie Smollett's guilty verdict, President Biden pressuring Ukraine, what Tulsi Gabbard said about the MSM, and more!

The TPUSA LIVE team is joined by host, Jon Root, and special guests Alex Clark and Ellie Byrd who will talk about the true meaning of Christmas, 'Tweets of the Week,' Christmas Inflation, dating polls, and more!

The Spillover host Alex Clark sits down with Hostage Negotiator Sergeant Ericka Stropka to discuss the countless lives she has saved!

We will wrap up the show with POPlitics with Alex Clark as she dives into Hillary Clinton's victory speech, David Dobrick, Bill Gates, and more!"
RestoreVirginia,"Crisis at the Border: Immigration Policy Failures

As conditions at the southern U.S. border continue to deteriorate, the Biden administration is making excuses instead of acting decisively. What can be done to stem the tide of illegal immigration? We’ll discuss real solutions—including building more border wall using stimulus funds.

Speakers

Kevin Roberts, Ph.D. (Moderator) – Executive Director, Texas Public Policy Foundation
John Zadrozny (Panelist) – Senior Fellow, Rule of Law Defense Fund
Alfonso Aguilar (Panelist) – Executive Director, Latino Partnership for Conservative Principles
The Honorable John Hostettler (Panelist) – Vice President of Federal Affairs, States Trust, Texas Public Policy Foundation. "
ThankRepForBuildBackBetter,"Huge news: The House just voted to pass the Build Back Better Act!

Thank you, Speaker Pelosi, for putting California's working families first by voting to create clean energy jobs right here and take on climate change right now."
BellbrookTaxRevolt,"The “infrastructure plan” coming from Washington D.C. includes funding for new commuter rail lines nationally. Some politicians in Concord and Washington plan to use these funds to build a new capital corridor line from Massachusetts to Concord. If built, this will cost Granite State taxpayers $11 million or more in annual operation and management costs.

To pay for these costs, the Department of Transportation suggests new taxes on Granite Staters, including:

-A new $5 vehicle registration fee,

-Increasing property taxes $15.7 million statewide,

-The diversion of 5% of state lottery revenue away from our schools, or

-Hiking gas taxes on those that can least afford the increase.

According to the NHDOT final report on the Nashua-Manchester commuter rail project, “[m]ost state transit funding comes from General Fund appropriations or through traditional taxes and fees, such as motor fuel taxes, sales taxes, and vehicle fees.”

We need your help to let lawmakers know that New Hampshire rejects this commuter rail subsidy boondoggle. Sign our petition to help protect Granite Staters from reckless tax increases and subsidies!"
BellbrookWokeRadicals,"Now that Hilcorp has managed to stem the production decline at Prudhoe Bay, what’s next? Forbes sat down with Hilcorp founder Jeffery Hilderbrand and asked him how much more oil can the Hilcorp model wring out of Prudhoe Bay? The answer is very good news.

“The limit to most good oilfields comes when someone runs out of good ideas, not when the field runs out of oil,” Jeffery Hildebrand said. “It won’t be one big thing: It won’t be all of a sudden we’ve had this one great idea that’s made Prudhoe Bay different than what it was before. It will be the accumulation of lots and lots of little things driven both at the field level and at the office level that will really make that difference.

“I think there’s a lifetime’s worth of them.” You can read more of the interview here."
GreenEnergySupportsCommunities,Tell Congress to support clean energy tax credits to combat climate change and create clean energy jobs.
NuclearEnergyProvidesTaxRevenue,Illinois needs its leaders to protect clean air and keep Illinoisans healthy by preserving nuclear power – a vital energy source.
TellRepToNotRaiseOilGasTaxes,Oil and natural gas can help accelerate Illinois’ economic recovery. Take our quiz to find out how!
OilAndGasProvidesWages,Oil and natural gas play a vital role in our community growth. Now is the time – pledge your support!
CelebrateBuildBackBetter,"On the path to net zero, we need advocates who are ready to speak up against pollution – and for innovative solutions. Join us to support nuclear power’s pivotal role in combating the climate crisis."
ClimateChangeMovements,"𝟏𝟎,𝟎𝟎𝟎 𝐒𝐈𝐆𝐍𝐀𝐓𝐔𝐑𝐄𝐒 𝐍𝐄𝐄𝐃𝐄𝐃 | 𝟏𝟏:𝟓𝟗 𝐏.𝐌. 𝐃𝐄𝐀𝐃𝐋𝐈𝐍𝐄

The climate crisis is a CODE RED for humanity. This is our best, last chance to tackle it. We need 10,000 climate activists to join Bernie Sanders, Alexandria Ocasio-Cortez and Stacey Abrams by 11:59 p.m. tonight – sign the petition now to demand Congress take bold climate action!"
