theme	tweets
ConservativePoliticsEvents	Join CAP CEO Leo Knepper as he sits down with Joseph N. DiStefano from the Philadelphia Inquirer to discuss the FBI investigation into PSERS as well as the turmoil that has accompanied it.
ConservativePoliticsEvents	"🚨 SAVE THE DATE 🚨

Join us and YPE Oklahoma City at the Petroleum Alliance headquarters on July 8 for a happy hour and speaker event! This will be a great opportunity to network with oil & gas professionals and hear from industry leaders. 

Click here to register: https://bit.ly/3y3Tcpn. "
TPUSAAd	"TPUSA LIVE is the unfiltered, grassroots alternative to mainstream media. Watch daily shows, live in-studio content from TPUSA HQ and weekly shows covering politics, pop-culture, sports and everything in-between. Tune in every weekday starting at 5 PM ET / 2 PM PT.

Check out today’s show! 

Human Events Daily host Jack Posobiec talks about the National Guard troops being sent to New York to replace unvaccinated healthcare workers and what our President said about when Americans can ""get back to normal."" 

The TPUSA LIVE team is joined by host Jon Root, and special guests Charlie Kirk, Morgan Zegers, and Heather Mullins, who will discuss New York's destructive mandates, schools banning ""pro-police"" flags, and a Marine Officer that was jailed for speaking out. 

RELOADED host Paige Roux dives into all things ammo and tune into Breakaway with Jon Root as he sits down with special guest, former Kentucky Wildcat star linebacker and now University of Kentucky football broadcaster, Kash Daniel. 

We will wrap up the show with POPlitics with Alex Clark as she covers celebrities speaking out about their beliefs & she finishes it off with Hot Take Tuesday."
TPUSAAd	"TPUSA LIVE is the unfiltered, grassroots alternative to mainstream media. Watch daily shows, live in-studio content from TPUSA HQ and weekly shows covering politics, pop-culture, sports and everything in-between. Tune in every weekday starting at 5 PM ET / 2 PM PT.

Check out today’s show! 

Human Events Daily host Jack Posobiec updates us on the First Lady Jill Biden asking if a VP can be removed, discusses how Black Rock loves China, what major accident happened at an Army base, and more!

The TPUSA LIVE team is joined by host, Jon Root, and special guests Isabel Brown, Leyla Pirnie, Drew Hernandez, and Laura Spears who will talk about Enes Kanter slamming the CCP, TPUSA's Professor Watchlist, Loudoun County and more!

Real America host Graham Allen covers the scariest moments from this past week and watch Benny on the Block with Benny Johnson for this Halloween special! 

We will wrap up the show with POPlitics with Alex Clark as she dives into another pop culture documentary involving the WACO Siege."
DomesticOilAndGasProduction	Woo-hoo! ConocoPhillips Alaska has achieved first oil at its Greater Mooses Tooth #2 (GMT2) drill site in the National Petroleum Reserve-Alaska (NPR-A)!
DomesticOilAndGasProduction	"The good news: our economy is beginning to ramp up once again. The bad news: progress is being greatly hampered by the Biden administration. 

While hardworking folks are simply trying to get back to work, lawmakers in Washington are doing everything they can to cut our energy lifeline. New infrastructure bills aim to hike taxes on oil and gas businesses and harm the men and women who make modern life possible. We should rely on petroleum professionals from our country, not abroad. 

Read more from Petroleum Alliance President Brook Simmons: https://bit.ly/3AXpg0C. "
ClimateChange	"Join us NEXT TUESDAY, November 2, at 7 pm ET, 4 pm PT, as we chat with the team at Love is King and discuss the importance of increasing public lands accessibility and how the Arctic National Wildlife Refuge can play an important role. 
RSVP: https://secure.alaskawild.org/a/roam  

You’ll have the opportunity to hear from three leaders who traveled to the Arctic Refuge this past summer, met with Indigenous leaders, fished in its streams, and witnessed firsthand the oil fields of the North Slope. We’ll explore how their time spent in the Arctic Refuge will help advance a reimagined outdoor experience focused on participation, representation and inspiration; introduce new audiences to the Arctic Refuge fight; and, help build a stronger base of support that will be critical to achieving lasting protections."
ClimateChange	"For four years, the Trump administration pushed to roll back a slew of bedrock environmental and public health protections. The final tally exceeded 100 attacks on everything from climate change and clean air and water to fuel efficiency standards and scientific integrity — spurring waves of public protest and legal challenges. 

NRDC sued the administration over 150 times to stop Trump and his polluter pals from wreaking havoc on our environment. Learn more about the devastating impact of Trump’s rollbacks and what the Biden administration needs to do to reverse the damage and bring us back from the brink of climate catastrophe."
Pipeline	"Our work right now is about holding our leaders accountable. And the Biden administration is maintaining the Trump administration's position to allow dirty oil to flow through the Dakota Access Pipeline. 

Tell President Biden: DAPL needlessly endangers the Standing Rock Sioux Tribe, our waterways, climate, and future -- and it must be shut down immediately >> https://sc.org/3e4sPsi. "
Pipeline	"Our work right now is about holding our leaders accountable. And the Biden administration is maintaining the Trump administration's position to allow dirty oil to flow through the Dakota Access Pipeline. 

Tell President Biden: DAPL needlessly endangers the Standing Rock Sioux Tribe, our waterways, climate, and future -- and it must be shut down immediately >> http://sc.org/2OpNlcL. "
BuildBackBetterAct	"Representative Chris Welch voted for the Climate and Equitable Jobs Act and it is now law in the state of Illinois!

The Climate and Equitable Jobs Act will:

✅Curb dangerous air pollution

✅Combat the climate crisis

✅Create thousands of high-quality jobs in Illinois

Please join us by adding your name to thank Representative Chris Welch today."
BuildBackBetterAct	"Representative Lindsey LaPointe voted for the Climate and Equitable Jobs Act and it is now law in the state of Illinois!

The Climate and Equitable Jobs Act will:

✅Curb dangerous air pollution

✅Combat the climate crisis

✅Create thousands of high-quality jobs in Illinois

Please join us by adding your name to thank Representative Lindsey LaPointe today."
AntiGridDeregulation	"Tell us what you think: https://bit.ly/31N2eg2
The Democratic Socialists of America are pursuing a plan to take over Maine’s power grid through eminent domain. It’ll cost the state $13.5 billion. Are you with them?"
AntiGridDeregulation	Government Controlled Power [sec. § 4003. 5.] would create a quasi-government entity to takeover Maine’s power grid and authorize private assets to be seized through eminent domain. Sound like a good policy?
LiberalTaxHikes	Raising taxes on the U.S. natural gas and oil industry could put our economic recovery at risk! Call Rep. Angie Craig at 651-846-2120 and tell them: new taxes on U.S. energy is a BAD idea!
LiberalTaxHikes	Oil and natural gas can help accelerate New Mexico’s economic recovery. Take our quiz to find out how!
NativeAmericanCulturalPreservation	"Next week on our Anpetu Wi Dialogues we have four special guests: the four living Standing Rock Chairmen Charles Murphy, Ron His Horse is Thunder, Dave Archambault II, and Mike Faith. Tune in for a historic dialogue about renewable energy, the history, and future of Standing Rock, hosted by SAGE general manager Joseph McNeil, Jr.

bit.ly/3wmKpin. "
NativeAmericanCulturalPreservation	"Chairwoman of SAGE Development, Fawn Wasin Zi, will join the Women of the Movement dialogue this month. Fawn has a background in biology, and she firmly believes it is her duty to speak for those, Unci Maka (Grandmother Earth) that cannot speak for themselves, ""I'm personally involved in this on the basic level that I'm a biologist, and I want to save the world"". Learn more and join us for this month's Anpetu Wi Dialogue with a live discussion with Fawn, Tara Houska, Rep Ruth Buffalo and Tokata (Future) Iron Eyes by clicking the link in the bio.

#listentolearn #nativeamericans #NODAPL #indigenoushistory #nativeamericanroots #indigenousunited #indigenouspeople #SAGE #SRST #SAGESRST #SayYestoWind #StopLine3 #ShutDownDAPL. "
OilTheft/ClimateLeader	"On July 18, one of our drivers reported #oiltheft at Reddi Rooster in Stamford, CT, where this Buffalo Biodiesel vat had been broken into and robbed, one of two oil thefts reported in Stamford that same day. Buffalo Biodiesel recycles the used cooking oil to make environmentally sustainable biofuel—instead, it’s being targeted by interstate organized crime. Please report any relevant information to Stamford Police Department CT and help us stop these criminals. 
News 12 Connecticut  NBC Connecticut  WFSB - Channel 3 Eyewitness News  Stamford Advocate  Stamford Patch  Daily Voice Gold Coast  The News-Times. "
OilTheft/ClimateLeader	"On July 20, our driver also reported #oiltheft at Kelley's Creamery in in Dover Plains, NY, where this Buffalo Biodiesel vat had been broken into and robbed—one of two #oilthefts in Dover Plains that same day. Buffalo Biodiesel recycles the used cooking oil to make environmentally sustainable biofuel, but organized crime groups are intentionally targeting our ""Ma and Pa"" suppliers across state lines. Please report any information to New York State Police  and help us stop this rising wave of rampant oil theft.
Poughkeepsie Journal  Poughkeepsie Journal Media Daily Freeman  News 12 Hudson Valley  Spectrum News 1 Hudson Valley  ABC7NY  CBS New York Organized Crime and Corruption Reporting Project The New York Times New York Post. "
NaturalGasIncentive/CleanEnergyPetition	"Residents of Franklin County are going to want to take advantage of this unique opportunity 👀

For a limited time we are offering $500 cash to eligible households just for switching to natural gas 💵 💵 💵

How do you get your $500?
✅ Click [Learn More]
✅ Review the Coverage Map
✅ Sign up for a free estimate
✅ Receive $500 cash once the conversion is complete

So don't wait, sign up for a free estimate today!"
CleanEnergyProjects	Protect affordable energy and consumer choice in New York! Sign the petition today.
CleanEnergyProjects	Protect affordable energy and consumer choice in New York. Sign the petition today!
ColoradoAirQuality/SupportingBlackWomen	"Congratulations Cleo Parker Robinson!! CBWPA's 43rd Annual Tribute to Black Women ""Legend"" Honoree! 

Join us Saturday, October 9th, as we celebrate Cleo and our 2021 honorees! Visit our website for event information: https://www.cbwpa.org/43rd-annual-tribute-to-black-women-luncheon/

CLEO PARKER ROBINSON is founder and artistic director of the nearly 51-year-old Denver-based artistic institution, CLEO PARKER ROBINSON DANCE (CPRD), leading a professional Ensemble, a second company (Cleo II), a Youth Ensemble, an Academy of Dance, an International Summer Dance Institute, a 240-seat theatre which bears her name, and numerous community outreach programs throughout Colorado, nationally, and internationally. She is the recipient of honors and awards from corporate, civic, community, and artistic entities world-wide, and is continually called upon by a myriad of organizations and performance venues to bring her Ensemble for performances, teaching residencies and motivational workshops. A master teacher/choreographer and cultural ambassador, she and her Ensemble have performed nationwide and internationally throughout Europe, the Caribbean, Asia, and the African continent, with their most recent international tours taking them to Bogota, Colombia in the Spring of 2019 and Mexico in Fall 2019.

Ms. Parker Robinson’s numerous awards and honors include the Colorado Governor’s Award for Excellence (1974), Denver Mayor’s Award (1979), induction into the Colorado Women's Hall of Fame (1989) and the Blacks in Colorado Hall of Fame (1994). Recognized in Who’s Who in America Colleges and Universities she holds an Honorary Doctorate from Denver University (1991), an Honorary Doctorate of Humane Letters from Colorado College (2003), and an Honorary Doctorate of Public Service from Regis University in Denver (2008). The University of Denver honored her with an Alumni Award in May of 2021, and in June of 2021, she is receiving a 2020 Honorary Degree, Doctor of Humane Letters, Honous Causa from CU Boulder.  
In 1991, Ms. Parker served on the task force for the creation of a permanent location for the Denver School of the Arts (DSA), Denver’s first performing arts magnet school, and was subsequently honored In September 2017 at their 7th Annual Fall Gala, in recognition of her long-term commitment to excellence in arts education. She is also co-founder of the National Bahamian Dance Company, based in Nassau.   
In 2011, Ms. Parker Robinson was voted an Honorary Lifetime Trustee of the Denver Center for the Performing Arts, in recognition of her longtime commitment and lasting impact on the Center.  In June 2017, she became the recipient of the highly prestigious DanceUSA Honor Award and in September 2017, the Randy Weeks Arts Leadership Award from the Denver School of the Arts. 

Ms. Robinson has served on NEA panels on Dance, Expansion Arts, Arts America, and Inter-Arts panels for the USIS. Ms. Robinson is a regular panelist for the National Foundation for Advancement in the Arts as well as other national task forces, boards and committees in the arts arena. In April 1999, she was appointed by then President William Jefferson Clinton, with Senate confirmation, to serve for four years on the National Council on the Arts, a 14-member panel advising the Chairman of the NEA on agency policy and programs, and reviews and making recommendations to the Chairman on grant applications. 

Since 2011 and 2012, Ms. Parker Robinson has returned to her greatest passion, the art of the choreographer, creating and presenting two new full-length works, “Dreamcatchers: The Untold Stories of the Americas” and the riveting world premiere of her “Romeo and Juliet”, which was first presented in collaboration with the Colorado Symphony Orchestra. Her work “On the Edge…  Reaching to Higher Ground” premiered in October of 2014 in answer to resurging racial and human rights infractions both nationally and internationally. In Spring 2017, audiences were thrilled with the re-staging of two of her works melding the worlds of classical and jazz composition with the power, passion and beauty of modern dance – “Romeo and Juliet” and “Porgy and Bess”. Fall 2017 saw the premiere of her “Copacetic: A Tribute to Jonathon “JP” Parker”, honoring her father. In the Spring of 2018, she premiered “Lark Ascending” in collaboration with the Boulder Philharmonic. Her “Rhapsody in Black”, created in collaboration with CPRD Associate Artistic Director, Winifred R. Harris, premiered at the Newman Center for the Performing Arts, University of Denver.  In January 2019, in collaboration with the Denver Brass, she choreographed an innovative interpretation of Bernstein’s “On the Town” and Spring 2019 saw the premiere of her collaboration with the Colorado Ballet, entitled “The MOVE/ment” as part of the Tour de Force performance series at the Ellie Caulkins Opera House, Denver Center for the Performing Arts. Her most recent choreographic project brought her to UMKC in Kansas City to set a work on the students of CPRDE alum Gary Abbot, entitled “Check Cashing Day” in tribute to the jazz genius of Bobby Watson and Milt Abel. She is currently working on a new work entitled “Standing On the Shoulders” commissioned by the Vail International Dance Festival for premiere in August 2021.  
   
Cleo Parker Robinson continues to be dedicated to celebrating the human experience and potential through the Arts and Education. Her life-long vision of “One Spirit, Many Voices” remains strong and steadfast, expanding to welcome, embrace, and sustain all people."
gun rights	Democrats are worried about the 2022 elections, and they should be.  A recent poll shows 46% of voters say they would vote for a Republican congressional candidate over a Democrat.  People have had enough of the wasteful government spending, out of control illegal immigration, and the drastic increase in food and gas prices.  Let's flip the House RED in 2022.  Please donate to support my campaign!
gun rights	"The United States has a strictly limited federal government, with a robust Bill of Rights, yet our freedom of speech and civil liberties remain in question as government seeks new authority over citizens. The federal government today limits our political speech, subjects us to more wiretapping than ever before, criminalizes more activities every year, regulates and sometimes interferes with the content of broadcasting, and assumes unprecedented police and prosecutorial powers. The best way to protect civil liberties is to rein in the scope and power of the federal government and begin to return the federal government to its constitutional limits.
Cato Institute. "
climate action	Washington state is proving that leaders can go bigger and bolder on climate action. How will Illinois step up to cut pollution across its economy?
climate action	Fossil fuel companies are spending millions to delay climate action and protect their profits. It's time to invest in clean jobs across Illinois.
renewables	"Wait, what is methane? Routine... huh? 

Learn about methane emissions and how regulation can help curb them."
renewables	13,000 MW can power millions of U.S. homes each year. Learn more about how mining will help combat the climate crisis.
inflation	US President Joe Biden's administration on Tuesday announced plans to open more than 80 million acres in the Gulf of Mexico for oil and gas exploration after a court ruled against the administration's pause in leasing.
inflation	A nationwide ban on natural gas and oil leasing and development could reverse progress toward U.S. energy security, threaten America’s economic growth and cut nearly a million jobs.
anti-woke	"No matter where we come from or what our color, most of us believe that our elected leaders should reflect the very best of every kind of Auroran and govern for all of us, no exceptions.

But today, certain politicians and the greedy few have rigged the rules to silence our voices and hold onto power. They fuel divisions hoping we’ll blame new immigrants, Black people, or people struggling to make
ends meet for the damage their policies have caused us all. We can defeat their attempts to undo the will of the people.

By joining together and voting for Bryan Lindstrom for Aurora City Council in Ward 2 we make the way toward a democracy that works for all of us, no exceptions."
organized cooking oil theft	"Our driver also reported another #oiltheft on August 20, at Two Brothers Pizza in Laurys Station, PA, where this Buffalo Biodiesel vat had been broken into and robbed, the lock and lockbar torn out. Buffalo Biodiesel recycles the used cooking oil to make environmentally sustainable biofuel—instead, it’s being targeted by organized crime rings across state lines. Please report any relevant information to PA State Police and help us stop these criminals. 
WFMZ lehighvalleylive.com The Morning Call The West End Reporter Pocono Record Times News Lehighton The Valley Ledger. "
indigenous activism	"July Power & Politics Agenda... 

- Congressman Joe Neguse 
- Senator Janet Buckner
- Rep Leslie Herod
- District Attorney Brian Mason (JD 17)
- Aurora City Council Crystal Murillo
- Cannabis Industry & Legislative Updates: Sarah Woodson, Founder of The Color of Cannabis 

Learn more about The Color of Cannabis, an organization that provides a pathway for restorative economic and criminal justice to communities negatively impacted by the war on drugs! Executive Director and Founder, Sarah Woodson will join us to provide cannabis industry and legislative updates!

Click the link below to learn more The Color of Cannabis: 
https://www.thecolorofcannabisco.org/

Join us June, July and August for updates on political programs, policies, and initiatives impacting our community in Colorado & Nationwide!!

Elected officials, organizations, program admins, etc... at all levels are welcome to attend and provide updates. Please use the link below to register for providing an update. 

https://www.eventbrite.com/e/july-power-politics-elected-official-registration-tickets-160050714997

For any questions, please reach out to info@cbwpa.org."
pro oil and natural gas	Rep. Malinowski, thanks for fighting for clean energy that can power our economy, create good-paying jobs, and tackle the climate crisis. Now is our time to get it done.
TPUSA	"TPUSA LIVE is the unfiltered, grassroots alternative to mainstream media. Watch daily shows, live in-studio content from TPUSA HQ and weekly shows covering politics, pop-culture, sports and everything in-between. Tune in every weekday starting at 5 PM ET / 2 PM PT.

Check out today’s show! 

Human Events Daily host Jack Posobiec discusses China's new hypersonic missile, gives us a #FreedomFlu update, covers Antifa demanding vaccine mandates and more!

We will wrap up the show with the TPUSA LIVE team joined by host, Jon Root, and special guests Grace Saldana, Morgan Zegers, and virtually, Vivek Ramaswamy and Andrew Bogut who will talk about woke corporations, Australia, and more!"
conservative school board	"Dear Mr. Stafford,
As an observant of how my property taxes have been wasted by the Local Government in the past, I'm of the opinion that I must buy with my knowledge. Therefore, I will be vote no on any levy increasing taxes.

When the school district’s finances are involved, there are no disinterested people, which is the reason if you’ve ever noticed how school employees backed by the Board of Education are always trying to push the need for a levy.  

When you get right down to it, our school district’s finances seem about as honest as the finances on Wall Street.

Not even St. Pete could expect the truth from the Board of Education under such conditions. 

If the owner of a gas station sells water as gasoline he can be taken to court and sued. But a School Official can stand up and sell to the public ITS OWN ASSETS AS LIABILITIES (ESTIMATED ENCUMBRANCES) to justify the need for additional funding and the BOE smile at them, pat them on the back, shake their hand, and call them their friend.

Most of the levy presentations are not intentional lies, they are only presentations by a group of people who benefit the most from the passage. It is the advice given by a school employee concerned with losing their job and not what is the best usage of our tax dollars.

The fact of the matter is, you can get an expert that just happens to be a school employee to recommend just about anything if it is in the school's own best interest or supports their existing bias. Expert advice is up for grabs and it doesn't always have to work in the school district's favor. The tragic truth here is experts can be terribly, terribly wrong.

It is important to note that with any levy presentation that is offered by the school employee the biggest gains will be worked up into the worst losses. 

Oh, and let’s not forget the leaflets they will be passing out soon, how they are almost always just as true as the tale of THE WIZARD OF OZ. There is generally a basis of the fact that is threaded in with an over-exaggerated imagination.

I want you, the property owner taxpayer to ask yourself this question. Is this an effort to get you, the property owner taxpayer, to buy in?

 I hope that you will only buy what you know.

 Do not make the mistake and buy with your ignorance, but buy with your knowledge. All ignorance is dangerous and the most dangerous is the ignorance of YOUR LOCAL GOVERNMENT! 

Become an involved citizen and an informed voter.

The art of getting other people’s money has been developed into a science by the Local Government. In regards to that subject, the science of government funding, their art of attack is more developed than your art of defense.

In the public finance field, there are always more clever people who can separate you from your hard-earned money without using force.

There is no doubt that Bernie Madoff, for instance, has taken more money from private Citizens than the TOP 10 word twisting levy presenters. They were swindled, and it is a very unpleasant fact that one man can swindle us for so many years without being caught. Madoff is locked up now but yet the Local Government is not put in jail and not likely to be. As they separate you from your money with as much ease and the use of no force as Bernie Madoff did with the people he gave his presentations to.

The government doesn’t earn money they transfer it. No law so it seems can prevent a man from being fooled. It is a fact that we have seen in the Madoff case, for a man to be showered with millions of poor people’s money. The only reason that you, as Citizen, should sign a check over to the Local Government is that you have received full value for your money.

The school district has come to us with a promise and an empty pocket, as our need for educating our children is now diluted with the school district’s need for increased revenue for employee benefits.

This is a fact and I do not say it to be mean. I support the Employees of the school district. But I support the greatest asset of Our Community more, the Citizens.

Buy with your knowledge, as Mr. Stafford has said, MATH NEVER LIES.

I support the Vote No movement.

Name withheld."
