theme	tweets
AntiGunBan	"Will you stand and fight, or kneel and cower?

We’ve asked politicians and candidates the same thing repeatedly, but many of them choose to kneel and cower while claiming to be conservatives.

 This is why we created the 2021 Restore Virginia Now survey,to give politicians the opportunity to stand on principle and true conservative values, but many have refused to do so.

Unfortunately, listening to his weak advisors, republican candidate Glenn Youngkin refuses to take a stand on issues such as constitutional carry, red flag gun confiscation, forced vaccination, mask mandates, school choice and defending the lives of the unborn.

Meanwhile the socialist gun grabbers never shy away from hard issues.  This is why we lose nearly every year, every election and every decade.
 
I have often found that if candidates refuse to pledge to defend these Virginian values, they will refuse to defend conservative values once elected.

This is why it’s imperative that you contact your gubernatorial candidate Glenn Youngkin, and tell him that if he wants your vote, he will complete the 2021 Restore Virginia Now candidate survey.

- Call the Youngkin Campaign at (703) 829-5171 and tell them they must complete the 2021 Restore Virginia Now Canidate Survey today!

For the past 18 months we have been building a grass roots army to take back our Virginia, but we cannot do so if candidates refuse to join us in this effort.

 This is why I am writing to you today.

 Over the next 2 months we will be informing voters on which candidates stand on principle and who refuses to go on record on vital issues such as:
 mandatory vaccination
 executive power grabs
 gun confiscation
 mandatory gun registration
 school choice and so many more 

You can view the 2021 Restore Virginia Now survey by clicking here. 

https://virginiaconservatives.net/2021-rvn-candidate-survey

But this I will tell you... our efforts will fail without your help. Without a dedicated army of grassroots activists dedicated to our founding principles of liberty, Virginia, like so many before her, will fall victim to the gun grabbing socialists,  forced vaccinators, baby killers and child indoctrinators.

 If you support our efforts, I ask you to click here to donate so that we will be able to reach every conservative voter in Virginia by November 2nd.

https://donorbox.org/restore-virginia-now

 The voters deserve to know where their candidates stand on principles they hold dear. And with one voice, we must tell those who seek our votes to stop listening to the weak-kneed advisors and paid consultants, and instead they must stand with the free people of Virginia. 

Only together, with one voice, can we hope to preserve freedom and liberty for future generations.

 Will you help us?

If so, again I ask that you tell any political candidate that asks for your vote to fill out our 2021 Restore Virginia Now survey to go on record on the very issues our Republic was founded upon.

 And then I ask you to share this post to all your friends and family to urge them to do the same and once you are done, please donate to our efforts to reach every single like minded conservative in Virginia.

 My family came here in 1748 and has fought for Virginia ever since.

Now Biden, Kamala Harris and their left-wing nutjob friends, like Ralph Northam and their host of Richmond radicals, are trying to destroy everything my family fought for.

 Will you join me in this fight for Virginia?           
 

In Liberty,

S. Chris Anders
Director
Virginia Constitutional Conservatives. "
AntiGunBan	"Fellow Virginia Patriots,

The most important election date in 2021 is coming up on June 8th, and we need your help.

Yes, the Convention to nominate Governor, Lt Governor and Attorney General already occurred. But if you understand politics, you know that the  legislative branch is the most powerful branch of government.

And on June 8th, there are countless primaries for seats in the House.

If you listen to the political establishment they will tell you that the November General Election should be your focus, but whenever a member of the political class tells you something, you have to stop and ask-
 
""How will this benefit them if I believe them?""

The plain truth is that the most important elections are the Republican Primaries that are coming up in a few short weeks.

Why?  Quite simple really.

Unless you have true patriots on the November ballot, conservatives will just sit home because they will not care.

And this is why we need your help today.

In over 15 years of grassroots activism, nothing is more true than the fact that wishy-washy candidates change voters from caring to not caring.  And if they don't care, they won't show up and vote.  And if they don't, the continued destruction of Virginia will continue.

This is why it is vitally important that real conservatives are on the ballot this coming November, and we need your help to make that happen.

All across the Commonwealth there are true patriots running in the June Primary, but the establishment is doing its best to be sure you have the same old, compromising candidates come November.  Over a year ago we launched Restore Virginia Now.  This program was created not only to rip the power away from the gun grabbers and Richmond Radicals, but to do so with lovers of liberty.

The response has been overwhelming.  I mean, how could it not be when the Republican establishment is pushing candidates that voted for Red Flag Gun Confiscation, Obamacare Expansion, Funding Planned Parenthood and expanding Northam's lockdown and forced vaccination powers?

If we let the Republican Establishment win in June, that is the sure path for the far left radicals to win in November.  It is that simple.

 Because voters will not care and I don't blame them one bit.  Is 'republican' anti-gun legislation better than 'democrat' anti-gun legislation?  Of course not!  But the 'lesser of two evils' argument is primed and ready to go unless you act today.

This is why I am asking you to fund our efforts to get real conservatives on the November Ballot.  And the only way to do that is to have them win in the June Primary.  Will you contribute to our efforts to do so?  If so please click here and donate to Restore Virginia Now, so that over the next couple of weeks we continue to shine a hard light on the fake conservatives.

https://donorbox.org/restore-virginia-now

If you hope to save Virginia we simply cannot allow backstabbing politicians on the ballot in November. I don't know about you, but I am sick and tired of hearing there is no difference between the two major political parties.  It is time you and I do something about it!  We need to be sure there is a clear difference between Candidate D and R in November...to make conservatives care again and the give them a reason to show up and vote!

Because if all they are offered are evil R and evil D, they will not.

 This is exactly why we created our 2021 State Candidate Survey.  There was one simple goal, to get politicians on record on hard issues that make voters care.  To show which candidates will stand and fight, and which are content with just playing loyal opposition. 

Here at the Virginia Constitutional Conservatives we realize how important this upcoming Primary Election is.

That is why we sent out our 2021 State Candidate Survey to all candidates, asking where they stand on such issues as-

Defending and restoring the 2nd Amendment by not only repealing Red Flag Gun Confiscation and  Universal Gun Registration, but also supporting Constitutional Carry to prevent you from begging the government's permission and paying a tax to bear arms.

Eliminating the Governor's Shutdown orders and forced vaccination

Parental Choice in Education

Ending the expansion of socialized medicine, and so much more

Many candidates answered these vital questions on our survey, but many others refused to.  If they refuse to answer these simple questions, it makes you wonder what they are trying to hide from the voters.

You can click here and to see the results of our 2021 Restore Virginia Now Candidate Survey.

https://virginiaconservatives.net/2021-rvn-candidate-survey

We have all seen these fake conservatives vote time and again to destroy the 2nd Amendment, grant more power to the Governor to shut down our schools, churches and businesses, and support the government monopoly on education in Virginia.  And the voters see it as well.  And if that is the only choice they have in November, well, they will sit at home.

And if we hope to take back our Virginia, we simply cannot have run-of-the mill-politicians running to represent us anymore.  Virginia is home to James Madison, Patrick Henry, George Washington and Thomas Jefferson.  These brave statesmen risked their lives, their fortunes and their sacred honor to create and defend your liberty.

And we need the same champions today.

It is time the people no longer have to choose between Evil A and Evil B.  For the lesser of two evils is nothing more than the establishment's effort to destroy the Constitution with your election day votes.

And with your help, between now and June 8th, we will continue to work in key districts, shining the hard light of truth on primary candidates, and spreading the light of liberty across the Commonwealth. Will you help us do so?  If so, please click here to donate whatever you can afford to help us lay the groundwork to win in November.

https://donorbox.org/restore-virginia-now

Whether it is $50 or $5000, we will use every dime to be sure we have November Candidates that can win.

 
 

In Liberty,

S. Chris Anders
Director
Virginia Constitutional Conservatives. "
EnvironmentalConservation	We are Lake County community members fighting for cleaner air, cleaner water, cleaner energy, and a healthier, more equitable future for environmental justice communities. Like our page to learn more and get involved!
EnvironmentalConservation	"The climate crisis is real, it’s getting more severe, and it’s changing the way we live! 

We need your support more than ever to help combat the dire consequences that severe weather is having on people, communities, and the environment. Make an urgent gift today."
SchoolBoardFinances/GasInfrastructure	"Will the school board ever grow up? They need the power to face unpleasant facts. 

The school district spending is out of control and is based on deceiving taxpayers into taxing themselves at ever-higher rates. 

“The chickens have come home to roost.”

The school district should be grateful for what it has got instead of constantly raising taxes every 4 to 5 years, for the last 50 years!

Bellbrook does not have a funding problem, it has a spending problem.

If the board members are as smart, as they say, they are, think they are, then why haven't they realized you can not keep ripping people off by taxing the homes 🏡 they live in?

Guilting taxpayers into paying more for the same is the tactic of the ill-informed and entitled. 

As even retired teachers have said, this is about supporting the lifestyles of, arguably overpaid, over benefited, public employees. 

It has to end, the well has run dry. There is no money 💰 tree 🌲 to harvest the cash needed to cover these lavish wages, Cadillac benefits, bonuses, sick days, pickups, and pensions.

All public employees need to respect the taxpayer and view them more than ATMs.

Say what you want, taxes are way too high and the largest most undisciplined, selfish spender,  is the school district. 

The board needs to get a grip and accept responsibility. The board needs to accept the outcome of the last 3-elections.

NO MEAND NO!

The unpleasant fact is they need to knock off the arrogance and get down to managing the $31,000,000.00million dollars they have to educate 2700 children.  

It's not as if the money isn't already there.

If they find themselves unable to deal with it, then they should step aside so others can step in, with fresh new ideas, and get the job done within the current generous budget.

The vote yes people have no special qualifications to tackle budgets, they are pretenders who can not be trusted. They only know how to spend more. They are not as smart as they think they are.

Be smart. Be thrifty like a farmer. VOTE NO on May4th! Please join the Bellbrook-Sugarcreek Property Tax Revolt of 2021.

Stop 🛑 taxing yourself, your friends, and your neighbor's 🏡 homes.

VOTING NO is the well-informed choice.

NO MEANS NO!"
SchoolBoardFinances/GasInfrastructure	"Government-Controlled Power comes with a price tag of $13,500,000,000  – three times Maine’s annual budget.  Do you think this is a good idea? 

Tell us right now: https://bit.ly/31N2eg2. "
AntiGridDeregulation/PoliticalActionAds	"Are you respected by politicians?

Unless you are politically feared, you will not be politically respected.

Learn WHY this works…. Learn HOW YOU can be feared AND respected by politicians in the fight for liberty.

This is practical, no-nonsense training built around cutting-edge political strategies and tactics.

If you are tired of crony-capitalism, corporate handouts and politicians only looking out for their next re-election, this class might be for you.

If you are ready to DO something to take back power from the politicians and elites for “We The People,” you NEED to attend this class on Saturday, May 8th, 2021 in Leesburg, VA.

This intense one-day training covers:

The Real Nature of Politics - why just ""educating"" people alone won't result in change;

The Biggest Lie in Politics - and how the political class uses your convictions against you;

How to work effectively at the Capitol - getting a bill sponsor and a roll call vote despite the leadership; and

How to put pressure on legislators.

All of our instructors have years of experience putting these principles to work in multiple states.

Many have worked on federal, state and local campaigns, including major presidential campaigns, and successful campaigns for U.S. Senate and Congress. They know what works, and also what has been proven not to work in getting politicians to vote right.

This class will teach you how to turn your passion into effective action to advance liberty.

If you’re ready to learn how to be effective AND feared by politicians, click here to register for this class on Saturday, May 8th, 2021 in Leesburg, VA. We’ll even thrown in lunch. "
AntiGridDeregulation/PoliticalActionAds	"How YOU can become effective in politics and make the politicians do what YOU want

STARTS ON Saturday, April 10th, 2021 - 9:00 AM

Are you respected by politicians?

Unless you are politically feared, you will not be politically respected.

Learn WHY this works…. Learn HOW YOU can be feared AND respected by politicians in the fight for liberty.

This is practical, no-nonsense training built around cutting-edge political strategies and tactics.

If you are tired of crony-capitalism, corporate handouts and politicians only looking out for their next re-election, this class might be for you.

If you are ready to DO something to take back power from the politicians and elites for “We The People,” you NEED to attend this class on Saturday, April 10th, 2021 in Wiliamsburg, VA.

This intense one-day training covers:

The Real Nature of Politics - why just ""educating"" people alone won't result in change;

The Biggest Lie in Politics - and how the political class uses your convictions against you;

How to work effectively at the Capitol - getting a bill sponsor and a roll call vote despite the leadership; and

How to put pressure on legislators.

All of our instructors have years of experience putting these principles to work in multiple states.

Many have worked on federal, state and local campaigns, including major presidential campaigns, and successful campaigns for U.S. Senate and Congress. They know what works, and also what has been proven not to work in getting politicians to vote right.

This class will teach you how to turn your passion into effective action to advance liberty.

If you’re ready to learn how to be effective AND feared by politicians, click here to register for this class on Saturday, April 10th, 2021 in Wiliamsburg, VA. We’ll even thrown in lunch."
CleanEnergyGoals	"The fossil fuel industry is a direct assault on our public health.
 
Our community’s health depends on transitioning away from fossil fuels so we can all have clean air and fresh water.
 
Add your voice and we can stop fossil fuel expansion, phase out existing fossil fuels and ensure a just transition for all."
CleanEnergyGoals	Did you know that the Great Lakes State is a leader in renewable energy use and generation, especially wind energy? Michigan is one of the top 15 states for wind power, and it’s expected to bring more online this year.
