text,name,Annotation
@LindseyStirling I really really hope your tour is still happening this August in Cincinnati!! Just got my COVID vaccine!! Love you!! ❤️❤️❤️❤️,wholesome reactions to getting the vaccine,0
"Also to note: the House bill does ɴᴏᴛ include mandatory paid sick leave if you should contract Covid-19, unless your employer voluntarily provides it. Pushing to re-open without protecting those most vulnerable — e.g. retail not vaccine eligible and no pay if they get sick",vaccine certification,0
"Ok, fine, I guess Ivermectin *is* made by one of those big, scary covid vaccine-making pharmaceutical companies. But unlike the vaccines,  Ivermectin is FDA-approved! See? https://t.co/t2P8a2AEJR",criticism of governments' response to vaccine,0
"@POTUS The Honorable President Joseph Biden; 
Please mandate covid vaccine shots for all Americans.
For the religious right two doses please.",criticism of governments' response to vaccine,1
"@GovHolcomb Governor Holcomb, I am glad you support the Vaccine, but by not supporting a Vaccine Mandate, I would like to know:
#1 What you are saying to our Healthcare Workers who are short Staffed and overwhelmed by the number of unvaccinated CoVid related Hospitalizations?
1/3",anti-vaccine conspiracy outcomes,0
"Our piece of shit Governor is at it again. He is as bad as #Trump. The ironic thing is the people most at risk for Covid-19 are his minions that won't take vaccine or wear masks. Thin the herd? #DeSantisSucks 
#FloridaDeservesBetter 
@GovRonDeSantis is a #Traitor",anti-vaccine conspiracy outcomes,1
"The public really needs 2 know that by targeting college students @SenatorAbrams &amp; @CTDems want ADULT VACCINE MANDATES

How do you feel about that in the time of warp speed covid vaccines &amp; hundreds of new vaxes in the pipeline? 

Want to refuse, no college for you!

#ctpolitics https://t.co/hxOlW8RVbR",criticism of governments' response to vaccine,1
Got my 2nd vaccine today! Getting vaccinated is an extra layer of protection against COVID-19! GET VACCINATED! https://t.co/HGkGGv4uRb,family covid vaccine experience,0
COVID vaccine secured...💉 https://t.co/3173yOUUSz,wholesome reactions to getting the vaccine,0
"Yes. It’s only for a temporary amount of time. 

We need to get everyone vaccinated. Especially during this time — young people. 

Learn more about this week’s vaccine sites in Southern Nevada here: https://t.co/1NqxcnXsbc https://t.co/FHvyjnhyIH",wholesome reactions to getting the vaccine,0
"My good friend just lost his friend and brother in law two days ago after a bad reaction to the covid vaccine. 

Brutal.",wholesome reactions to getting the vaccine,0
"Leadership by example. 

https://t.co/ECUwREx0yR
The U.S. will begin sharing its entire pipeline of vaccines from AstraZeneca once the COVID-19 vaccine clear federal safety reviews, the White House told The Associated Press.",criticism of governments' response to vaccine,0
"FDA grants full approval to Pfizer's COVID-19 vaccine💪🏻 https://t.co/jAjwAx1Ame
@thehill #COVID19Vaccine @pfizer 

Sent from my iPhone https://t.co/VJ339PIT97",anti-vaccine conspiracy outcomes,0
"Eating a bunch of callaloo and drinking cerasee can't hurt. We love ital. 

But a vaccine, fully ventilated outdoor air and a properly worn n95 mask are PROVEN tools for avoiding Covid Transmission.",inefficacy of vaccine,0
@adamwm89 There’s a great NYTimes article about this. The Haredi live in tight knit communities. They were very resistant to COVID restrictions but many have embraced the vaccine. It’s usually one powerful patriarch to convince and then they tell everyone to get it.,family covid vaccine experience,1
"READ: While the Johnson &amp; Johnson COVID-19 vaccine remains under review, eligibility for COVID-19 vaccination appointments will open to those 16 and older in R.I. April 19. I have the story for @Rhodycigar https://t.co/3fw41Vw2yC",state vaccine eligibility,1
"5/8/2021 2:14pm
Phyzer COVID-19 vaccine 2nd dose done",wholesome reactions to getting the vaccine,0
