theme,top_25_tweets,Annotation
GovGoodPolicies,This will continue the conversation started with @LACareHealth  and @jaimecamil  last Tuesday on COVID-19 and the myths and facts surrounding the vaccine. A must watch! https://t.co/hAQtK0b6pj,0
VaxApprovalInfo,CDC committee updates recommendations on use of the😬😷 J&amp;J Covid vaccine https://t.co/sBcefN7ITs via https://t.co/kX71AZKOC4,1
VaxDoesntWork,@KingBorn8 @IjeomaOo All vaccines have a risk. The odds are better taking the vaccine than surviving covid.,0
ReasonsForUSLaggingOnVaccines,"@hankgreen I have been expressing my concerns with my family for not being vaccinated, unfortunately, I had lost my uncle to covid a few days ago, the vaccine would've kept him alive, unfortunately, he was against it, please Hank, keep telling people to get vaccinated! Much love.",0
ReasonsForUSLaggingOnVaccines,@ClareMortimer6 @Richard_Head2 @JoeBiden Thanks to Trump you have a vaccine. If Joe was President when Covid started you would still be waiting for a vaccine.,0
FDAapproval,Got my 2nd COVID vaccine!! #Pfizer ✅💉 https://t.co/5S7L1f6Ncu,0
VaxDistributionIssueDueToLocalPolicy,"The MultiCare vaccine clinic in Spokane has distributed more than 10,000 doses of the COVID-19 vaccine through appointments! https://t.co/MppMvbdS1k",0
VaxDoesMoreHarmThanGood,"@kylegriffin1 Those antivaxxers want the hospital’s help when they get COVID and want the vaccine on their deathbed, but until then, act like a teething angry two-year-old? 

You can’t do both. Stop threatening our healthcare workers who will most likely be the people saving your selfish ass.",0
VaxLessensSymptoms,"Vaccine at best is 95% effective, a child's chances of getting COVID is far less than 0.00018% , the vaccine is EXPERIMENTAL it provides no reduction in risk to children, only adverse reactions. https://t.co/zhE9rX2Pyv",0
VaxLessensSymptoms,"@OldPrague Why subject yourself to experimental vaccines to protect you from a disease that has a near 100% survival rate? Chances of dying from the vaccine are higher than from COVID-19. 
Important information about the experimental COVID-19 vaccines. 
https://t.co/7d1v0RHnFF",0
VaxDistributionIssueDueToLocalPolicy,"""city health dept announced they'd be doing all vaccinations at the Convention Center...our patients who are elderly, have limited mobility or other disabilities or some complex medical issues...not interested, willing or able to access the current system""
https://t.co/57Qfj0ymjB",1
VaxDistributionIssueDueToLocalPolicy,Here’s who’s newly eligible for the COVID-19 vaccine in Louisiana. @BRProudNews #lagov #lalege https://t.co/MLa7MLfaLE,0
VaxDistributionIssueDueToLocalPolicy,The journey from Red Hook Senior Center and a Vaccine Roundtable by the old Brooklyn Heights office (Public facing government worker) to Fort Greene Cumberland Covid Vaccine Clinic #NYCVaccineForAll https://t.co/TjC3MvY1RV,0
VaxDistributionIssueDueToLocalPolicy,"Covid19 Vaccine.  Please do it as soon as possible
 ?❤🙏🙏🥰#covid_19 #corona #us #usa #losangeles #calabasas #champion #peace #party #dubai #happy #lifeisgood #life #health @ Beverly Hills, California https://t.co/u4w7XL6VOC",0
VaxApprovalInfo,"Covid Vaccine Pfizer Fda Approval Vaccination How Its Affecting Indiana Companies ☝ 😐 
 https://t.co/VNjktlmMrJ",1
VaxApprovalInfo,"""CDC recommends additional COVID-19 vaccine dose for certain immunocompromised people""  https://t.co/PBhiQA2TBb",1
VaxDistributionIssueDueToLocalPolicy,".@wbz story on Nashoba Valley communities, led by @TownofLittleton,
to bring a mass #vaccination site to the region, despite @MassHHS stopping #vaccine delivery to municipalities. @RepHarrington, @JimArciero, @dansena_ma &amp; I will keep pushing https://t.co/lfb0mGptGj #mapoli",1
VaxLessensSymptoms,If you get the vaccine you can still get Covid,0
ReasonsForUSLaggingOnVaccines,"Another front line worker dies after getting the 2nd dose. Her husband never planned on being an activist but he is now. #lockdown #CovidVaccine
https://t.co/6YKB0y8TIY",0
VaxLessensSymptoms,@charliekirk11 Your only excuse for not getting a vaccine is if you have already had Covid.  Anything besides that only means that you're more afraid of needles and shots than of getting Covid.,0
VaxDoesMoreHarmThanGood,@KXnOMorningRush @uscelladvantage As a nurse whose cared for 1000+ COVID patients and swabbed several thousand...drive an hour and get the vaccine! And wear your damn mask!,0
VaxSymptoms,"This covid vaccine is actually kicking my ass day one. Tired as hell. Muscles hurt. Body hurts, head hurts sheesh.",1
VaxDistributionIssueDueToLocalPolicy,"@POTUS Please share the United States’ surplus COVID-19 vaccine doses with low-income countries. If the vaccine isn't everywhere, this pandemic isn't going anywhere. #ONEWorld https://t.co/tOqb0NlIii",0
PostVaxSymptoms,"I’m so sick of COVID, that vaccine ain’t sounding too bad these days",0
ReasonsForUSLaggingOnVaccines,the whole “covid-19 and vaccine” talk has really showed how ignorant some of y’all really are.,0
ReasonsForUSLaggingOnVaccines,"@MSNBC @morgfair If the likes of DeSantis and Covid deniers had been around during the smallpox vaccines and protocols, many of us would never have been born. That vaccine saved the lives of our forbearers. DeSantis ignorance is disgusting. #Vaccinated #DeathSantis",1
ReasonsForUSLaggingOnVaccines,This is an entirely preventable tragedy. Prominent Covid and vaccine deniers should be held accountable. https://t.co/DFyDhEIJJB,0
GovGoodPolicies,"Great news, and progress, here in #maine on #COVID19  vaccine rollout: https://t.co/0TO2g6RmAr
@nirav_mainecdc @MaineDHHS @newscentermaine",1
GovGoodPolicies,I saw this when I left the hospital last night. So grateful our frontline teachers are getting their first doses of the COVID vaccine- teachers are our heros for guiding our children through this year and working tirelessly to serve their students! @uabmedicine @HomewoodMiddle https://t.co/7Xv7kgaGdU,0
