text,name,Annotation
@foxyknitter after all my posturing yesterday (sorry to mess up your thread) I got my first covid vaccine by just showing up at a clinic. It was no big deal!  Go get your vaccine!,Receiving_first_dose_of_covid_vaccine,1
@AlexBerenson @JNJ @statnews Of course they would. Amazing how all these vaccines have some of the same symptoms as covid but these symptoms are not related to covid vaccine 🤔🤷‍♀️,AntiCovidVaccine,1
"WATCH: @CoachDrinkwitz passionately shares his opinion on the COVID-19 vaccine. 

""That's what we need to do in order to take care of our neighbor."" @KOMUsports @KOMUnews https://t.co/iSZ9HImMew",ProCOVIDvaccine,1
Just Received My 2nd Dose Of The COVID-19 Pfizer Vaccine GOD Protect Us 🙏🏻💉... Nough Said @ Ronald Reagan UCLA Medical Center https://t.co/QuoTobs6kn,Receiving_first_dose_of_covid_vaccine,0
"NEW: One thousand J&amp;J COVID vaccine doses will be available to Ward 8 residents this Saturday, from 9:00 a.m. - 4:00 p.m. https://t.co/NTKSuno418",GettingtheCOVIDvaccine,1
The vaccine is the actual virus 💉 #Covid_19 #Moderna https://t.co/brCvbVeI5p,Promoting_covid_related_news_articles,0
the fact that ppl are more afraid of the vaccine than covid is beyond me. Lmao covid has literally killed millions of ppl in the span of a year…???,AntiCovidVaccine,0
"Denver Health expects that children 12 and older will be able to sign up for COVID-19 vaccines by this weekend. 

The FDA authorized the Pfizer vaccine, but now the CDC must weigh in. 
Dr. Federico says that meeting will happen in a couple days. https://t.co/5LnohYkSsv",GettingtheCOVIDvaccine,1
"I can’t stand some of y’all, I’m keep wearing my mask but y’all are not about to make me feel bad for not getting the COVID vaccine when my mom developed Anemia from it and told me not to get it any more!! If y’all are okay with getting shit put into your body that’s not FDA",Skepticism_over_the_covid_vaccine,1
Huge news from @Raiders who will require proof of vaccine to attend regular season games. https://t.co/wQRQNzzUL1,NewsarticlesaboutCOVIDvaccineprogress,1
"Black Residents And Women Are Less Willing To Get COVID-19 Vaccine, Central Texas Survey Finds https://t.co/DbRWWeZRdg",ProCOVIDvaccine,0
@GovRonDeSantis when are u going to AUTHORIZE PEOPLE WITH AUTOIMMUNE DISEASE TO RECEIVE THE COVID VACCINE? Drs are coming out and saying vaccinate these people now!!!!  #ALLLIVESAREIMPORTANT!,AntiRepublican,1
"Wear a mask
Wear 4 masks
Wear 20 masks...

Covid tests required to fly internationally 
Covid tests required to fly domestically 

...Do the vaccine passports come next or the more scientifically accurate ANAL covid swabs 😳

Time to get off the crazy train! https://t.co/KSMOQHGvLv",GetyourCOVIDvaccine,0
"Every since NCDHHS announced that Group 3 can now get vaccinated for COVID 19, I’m trying to schedule an appointment. 

1 dose down, 1 more to go in two weeks

*Side Note: @itsmrsdietz somewhat encouraged me to get the vaccine* https://t.co/W9Wja0D0Y1",WhereToGetVaccine,0
"CA #COVID19 Suplemental Paid Sick Leave allows for paid time off to take and recover from the vaccine or care for a family member. You’re not alone and you don’t need to make a choice of getting sick, going to work or getting the vaccine. More : https://t.co/MGuKcwQYeF https://t.co/ozdAXGcrLD",VaccineEfficacyDenial,0
"Thank you, @MecklenburgEMS, for a smooth process in getting my first dose of the Covid vaccine.   Christian made sure it didn't hurt! 🙌 #COVID19Vaccine #VaccineTime @WBTV_News https://t.co/zva961kHAw",GotVaccinated,1
"hi! stop asking your doctor for ivermectin! if you don’t want the vaccine bc it’s not fda-approved, you probably shouldn’t be asking for meds that aren’t fda-approved to treat covid either! just a friendly psa bc y’all look dumb!",Encouraging_people_to_get_the_covid_vaccine,0
Inside the Largest and Fastest COVID-19 Vaccine Operation. Read the details in our InFluential News section of https://t.co/e8Hw42bWmV. #influentialmagazine @unicefusa @unicef #health #wellness #unicef https://t.co/rdBUpPXQ4I,NewsarticlesaboutCOVIDvaccineprogress,1
@evilshredz11 @JohnWSaundersII @Dobberdude @celinegounder @ScottGottliebMD My primary care doctor was thrilled that I had already gotten the COVID-19 vaccine. The VA loves vaccines.,Skepticism_over_the_covid_vaccine,0
@Rhonda_W88 @ClayTravis Getting vaccine does not mean u cannot get covid. Please show me where 32k in the stands were all vaccinated? So the team they played yesterday all their players have to go into quarantine for contract tracing?,COVIDvaccineonlyreducestheeffectsofCOVID,0
this covid vaccine kicking my ass,Experiences_of_vaccine_side_effects,1
"He is a Cancer survivor. Per  @AmericanCancer - Many expert medical groups recommend most patients with cancer or a history of cancer *should get a COVID-19 vaccine. Since the situation for every person is different, it is best to discuss the risks and benefits with your doctor. https://t.co/fJ2R9IKvae",Skepticism_over_the_covid_vaccine,0
"I can't wait until the day I don't have to hear ""COVID-19"" or ""coronavirus"" or ""vaccine"" hundreds of times each day on the news. I can't wait for normal to come back. Goodness I'm drained on this stuff.",Covidvaccineaftereffects,0
We need more hands on board — more volunteers to help us with a grassroots outreach to knock on doors and to help people get signed up so that they can get vaccinated. #DCHOPE https://t.co/CovlwSEoP5,Praising_frontline_healthcare_workers,1
@daveyalba @mtgreenee The GOP is great … they think the PRC maybe made Covid in a lab … they think we need to be tough on PRC … they don’t think the military should be vaccinated against the “PRC virus.” 🤷‍♂️ (retired military and never turned down a vaccine),Criticising_The_President,1
